Company,CUSIP,Shares,Value,Discretion
APPLE INC,037833100,2400,601008,SOLE
BANK OZK,06417N103,643402,28650699,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,1,680920,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,48717,22082442,SOLE
ENERGY TRANSFER L P,29273V100,852900,16708311,SOLE
ENTERPRISE PRODS PARTNERS L,293792107,5448900,170877504,SOLE
EOG RES INC,26875P101,2000,245160,SOLE
OCCIDENTAL PETE CORP,674599105,9000,444690,SOLE
ST JOE CO,790148100,20617467,926342792,SOLE
WR BERKLEY CORP,084423102,261450,15300054,SOLE
