Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,3400,360808,SOLE,
ALIBABA GROUP HLDG LTD,01609W902,38500,2148300,SOLE,Call
ALLY FINL INC,02005N100,225525,8026436,SOLE,
ALPHABET INC,02079K107,82390,13774784,SOLE,
APPLE INC,037833100,44000,10252000,SOLE,
ASSURED GUARANTY LTD,G0585R106,10990,873925,SOLE,
BANK AMERICA CORP,060505104,50000,1984000,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,90,62206208,SOLE,
CHINA YUCHAI INTL LTD,G21082105,73364,930256,SOLE,
CITIGROUP INC,172967424,57695,3611708,SOLE,
CREDIT ACCEP CORP MICH,225310101,262,116176,SOLE,
HERTZ GLOBAL HLDGS INC,42806J148,192111,420723,SOLE,
IMPERIAL OIL LTD,453038408,5000,351769,SOLE,
JEFFERIES FINL GROUP INC,47233W109,10987,676250,SOLE,
LEAR CORP,521865204,4000,436600,SOLE,
LIBERTY GLOBAL PLC,G61188101,121823,2571684,SOLE,
LOUISIANA PAC CORP,546347105,5886,632510,SOLE,
MAGNA INTL INC,559222401,10000,410400,SOLE,
MBIA INC,55262C100,321000,1145970,SOLE,
METHANEX CORP,59151K108,4000,165270,SOLE,
MOODYS CORP,615369105,5899,2799606,SOLE,
NAVIENT CORPORATION,63938C108,264245,4119580,SOLE,
OCCIDENTAL PETE CORP,674599105,200000,10308001,SOLE,
OCCIDENTAL PETE CORP,674599162,68000,2020960,SOLE,
PATHWARD FINANCIAL INC,59100U108,27389,1807948,SOLE,
PAYPAL HLDGS INC,70450Y103,41000,3199230,SOLE,
POOL CORP,73278L105,10636,4007645,SOLE,
RYANAIR HOLDINGS PLC,783513203,5937,268234,SOLE,
SIRIUS XM HOLDINGS INC,829933100,23686,560171,SOLE,
STELLANTIS N.V,N82405106,456388,6412251,SOLE,
SYNCHRONY FINANCIAL,87165B103,193202,9636917,SOLE,
VITESSE ENERGY INC,92852X103,1293,31058,SOLE,
WELLS FARGO CO NEW,949746101,59542,3363528,SOLE,
