Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,290261,36416145,SOLE,
AMAZON COM INC,023135106,186499,38842147,SOLE,
BRAZE INC,10576N102,1112099,26256657,SOLE,
CONSTELLATION ENERGY CORP,21037T109,23167,6469385,SOLE,
COSTAR GROUP INC,22160N109,339081,13678528,SOLE,
COUPANG INC,22266T109,906291,17110774,SOLE,
GDS HLDGS LTD,36165L108,221782,8935597,SOLE,
INTUIT,461202103,40939,17701205,SOLE,
LIBERTY MEDIA CORP DEL,531229755,202928,17252939,SOLE,
OKTA INC,679295105,565036,44473984,SOLE,
PROCORE TECHNOLOGIES INC,74275K108,216756,12355092,SOLE,
ZSCALER INC,98980G102,200416,28116361,SOLE,
