Company,CUSIP,Shares,Value,Discretion,PutCall
ASML HOLDING N V,N07059210,125627,100676222,SOLE,
EQUIFAX INC,294429105,144000,37349280,SOLE,
FAIR ISAAC CORP,303250104,768422,1404644679,SOLE,
INTUIT,461202103,263312,207392431,SOLE,
MASTERCARD INCORPORATED,57636Q104,1484772,834352778,SOLE,
MOODYS CORP,615369105,1314144,659161489,SOLE,
MSCI INC,55354G100,59700,34431378,SOLE,
S&P GLOBAL INC,78409V104,1755098,925445624,SOLE,
VISA INC,92826C839,912017,323811636,SOLE,
