Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K305,274620,45559458,DFND
ATS CORPORATION,00217Y104,56700,1626775,DFND
AUTOHOME INC,05278C107,54000,1764180,DFND
BANK OF NOVA SCOTIA,064149107,289100,15758783,DFND
BERKSHIRE HATHAWAY INC,084670108,1,690286,DFND
BLACKBERRY LTD,09228F103,46724700,122418714,DFND
CAPRI HOLDINGS LTD,G1890L107,202100,8573082,DFND
COLLIERS INTL GROUP INC,194693107,25000,3798253,DFND
FRANCO NEV CORP,351858105,16800,2065693,DFND
GARRETT MOTION INC,366505105,285760,2331802,DFND
GENERAL MTRS CO,37045V100,375965,16854511,DFND
GENTEX CORP,371901109,85000,2522800,DFND
HELMERICH & PAYNE INC,423452101,555105,16880743,DFND
INTEL CORP,458140100,190000,4457400,DFND
JOHNSON & JOHNSON,478160104,73400,11890800,DFND
KENNEDY-WILSON HOLDINGS INC,489398107,13322009,147208199,DFND
KKR & CO INC,48251W104,23500,3068395,DFND
KRAFT HEINZ CO,500754106,750000,26317500,DFND
MAGNACHIP SEMICONDUCTOR CORP,55933J203,125000,582500,DFND
MERCK & CO INC,58933Y105,172900,19634524,DFND
MGM RESORTS INTERNATIONAL,552953101,29500,1152860,DFND
MICRON TECHNOLOGY INC,595112103,80000,8296000,DFND
OCCIDENTAL PETE CORP,674599105,6020418,310232140,DFND
ORLA MINING LTD,68634K106,56817229,225847381,DFND
PFIZER INC,717081103,460900,13333837,DFND
RESTAURANT BRANDS INTL INC,76131D103,42000,3016277,DFND
TAIWAN SEMICONDUCTOR MFG LTD,874039100,141700,24607622,DFND
TEGNA INC,87901J105,32000,504640,DFND
TFI INTL INC,87241L109,13300,1818357,DFND
UNDER ARMOUR INC,904311107,6311800,56238138,DFND
XERIS BIOPHARMA HOLDINGS INC,98422E103,170937,485461,DFND
