Company,CUSIP,Shares,Value,Discretion,PutCall
ACV AUCTIONS INC,00091G104,5510790,54611929,SOLE,
ADVANCED MICRO DEVICES INC,007903107,339358,54904731,SOLE,
AFFIRM HLDGS INC,00827B106,207905,15193697,SOLE,
ALPHABET INC,02079K305,550260,133768206,SOLE,
AMAZON COM INC,023135106,658886,144671599,SOLE,
AMBIQ MICRO INC,023193105,684307,20474465,SOLE,
AMERICAN SUPERCONDUCTOR CORP,030111207,771495,45819088,SOLE,
APPLOVIN CORP,03831W108,17378,12486788,SOLE,
ASTERA LABS INC,04626A103,62050,12149390,SOLE,
ATLASSIAN CORPORATION,049468101,305231,48745391,SOLE,
AUTOZONE INC,053332102,10928,46883743,SOLE,
AXON ENTERPRISE INC,05464C101,36461,26165872,SOLE,
BUILDERS FIRSTSOURCE INC,12008R107,137154,16629923,SOLE,
CIENA CORP,171779309,1400764,204049292,SOLE,
COHERENT CORP,19247G107,913778,98432166,SOLE,
COREWEAVE INC,21873S108,62904,8608412,SOLE,
DECKERS OUTDOOR CORP,243537107,1250516,126764807,SOLE,
DICKS SPORTING GOODS INC,253393102,481386,106973597,SOLE,
E L F BEAUTY INC,26856L103,538348,71320343,SOLE,
FERGUSON ENTERPRISES INC,31488V107,222624,49996898,SOLE,
FIVE9 INC,338307101,735151,17790654,SOLE,
GEMINI SPACE STA INC,36866J105,70000,1677200,SOLE,
GITLAB INC,37637K108,5470305,246601349,SOLE,
HUBSPOT INC,443573100,243434,113878425,SOLE,
INTEL CORP,458140100,2611037,87600291,SOLE,
INTUIT,461202103,135178,92314408,SOLE,
INVESCO QQQ TR,46090E103,2000000,1200740000,SOLE,Put
JFROG LTD,M6191J100,397244,18801559,SOLE,
JOBY AVIATION INC,G65163100,769407,12418229,SOLE,
LUMENTUM HLDGS INC,55024U109,656960,106893962,SOLE,
MARVELL TECHNOLOGY INC,573874104,1000000,84070000,SOLE,Call
MASTERCARD INCORPORATED,57636Q104,45068,25635129,SOLE,
MERCADOLIBRE INC,58733R102,5896,13778598,SOLE,
META PLATFORMS INC,30303M102,66093,48537377,SOLE,
MICRON TECHNOLOGY INC,595112103,724957,121299805,SOLE,
NU HLDGS LTD,G6683N103,2509389,40175318,SOLE,
NVIDIA CORPORATION,67066G104,574723,107231817,SOLE,
PHILIP MORRIS INTL INC,718172109,279097,45269533,SOLE,
PURE STORAGE INC,74624M102,4098376,343484893,SOLE,
RALPH LAUREN CORP,751212101,125100,39226356,SOLE,
ROBLOX CORP,771049103,737007,102090210,SOLE,
ROCKET COS INC,77311W101,1000657,19392733,SOLE,
ROGERS CORP,775133101,168925,13591706,SOLE,
RUBRIK INC.,781154109,752752,61913852,SOLE,
SAMSARA INC,79589L106,711215,26492759,SOLE,
SEA LTD,81141R100,270173,48288020,SOLE,
SEMTECH CORP,816850101,678133,48452603,SOLE,
SERVICETITAN INC,81764X103,626227,63142468,SOLE,
SNOWFLAKE INC,833445109,469545,105905875,SOLE,
SONDER HOLDINGS INC,83542D300,960533,1219877,SOLE,
SYNOPSYS INC,871607107,38876,19181030,SOLE,
TABOOLA.COM LTD,M8744T106,725000,2472250,SOLE,
TESLA INC,88160R101,206562,91862253,SOLE,
TWILIO INC,90138F102,965763,96663219,SOLE,
UNITY SOFTWARE INC,91332U101,6111553,244706582,SOLE,
VARONIS SYS INC,922280102,658415,37839110,SOLE,
WAYFAIR INC,94419L101,854390,76322659,SOLE,
ZILLOW GROUP INC,98954M200,118098,9099451,SOLE,
