Company,CUSIP,Shares,Value,Discretion,PutCall
ADOBE INC,00724F101,361126,74038129,SOLE,
ALPHABET INC,02079K305,525750,187887516,SOLE,
AMAZON COM INC,023135106,681047,162320874,SOLE,
APA CORPORATION,03743Q108,50000,1628500,SOLE,
BIOGEN INC,09062X903,189400,40921764,SOLE,Call
BIOGEN INC,09062X103,283697,61295674,SOLE,
CHIME FINL INC,16935C109,4082489,83609379,SOLE,
CITIGROUP INC,172967424,1403477,196430787,SOLE,
COINBASE GLOBAL INC,19260Q107,462016,67542293,SOLE,
CROCS INC,227046109,799426,96442926,SOLE,
CVS HEALTH CORP,126650100,1235505,127813106,SOLE,
DAVE & BUSTERS ENTMT INC,238337109,204022,2325851,SOLE,
DELTA AIR LINES INC,247361702,431215,40387702,SOLE,
ENERGY TRANSFER L P,29273V100,6080678,116262573,SOLE,
EXPEDIA GROUP INC,30212P303,167814,42940539,SOLE,
FIDELITY WISE ORIGIN BITCOIN,315948109,1217595,62158256,SOLE,
FISERV INC,337738108,953637,46775926,SOLE,
GENERAL MTRS CO,37045V100,631558,48680506,SOLE,
GENIUS SPORTS LIMITED,G3934V109,812819,4925683,SOLE,
GLOBAL PMTS INC,37940X102,942310,68374062,SOLE,
ILLUMINA INC,452327109,345314,60716695,SOLE,
JD.COM INC,47215P106,1377719,35104299,SOLE,
JPMORGAN CHASE & CO,46625H100,29360,9610253,SOLE,
LENNAR CORP,526057302,12500,1108875,SOLE,
META PLATFORMS INC,30303M102,170790,96204723,SOLE,
NOBLE CORP PLC,G65431127,100000,3730000,SOLE,
NORWEGIAN CRUISE LINE HLDGS,G66721104,6029642,127285750,SOLE,
NVIDIA CORPORATION,67066G104,709587,141981419,SOLE,
ONEMAIN HLDGS INC,68268W103,702369,42823508,SOLE,
PEOPLE INC,44891N208,2425558,111963801,SOLE,
PRECIGEN INC,74017N105,19036976,108510760,SOLE,
QXO INC,82846H405,7136669,123321646,SOLE,
ROYALTY PHARMA PLC,G7709Q104,3598808,201785166,SOLE,
SEADRILL LTD,G7997W102,1953355,73875926,SOLE,
SOFI TECHNOLOGIES INC,83406F102,1505629,26995943,SOLE,
STATE STR SPDR S&P 500 ETF T,78462F103,1060,791601,SOLE,
TEMPUS AI INC,88023B103,400698,23212476,SOLE,
UBS GROUP AG,H42097107,953734,47267108,SOLE,
UNITED AIRLS HLDGS INC,910047109,731523,99479991,SOLE,
UNITEDHEALTH GROUP INC,91324P102,437773,181951987,SOLE,
