Company,CUSIP,Shares,Value,Discretion
AMAZON COM INC,023135106,4053249,889971883,DFND
AMPHENOL CORP NEW,032095101,3823422,473148473,DFND
ARAMARK,03852U106,3204201,123041318,DFND
ARCH CAP GROUP LTD,G0450A105,3507882,318270134,DFND
BOSTON SCIENTIFIC CORP,101137107,5312504,518659766,DFND
CANADIAN PACIFIC KANSAS CITY,13646K108,2026311,150939906,DFND
CAPITAL ONE FINL CORP,14040H105,2077839,441707015,DFND
CARPENTER TECHNOLOGY CORP,144285103,1374333,337453725,DFND
CME GROUP INC,12572Q105,1184788,320117870,DFND
CRH PLC,G25508105,4260846,510875435,DFND
EMBRAER S.A.,29082A107,2117012,127973375,DFND
FERGUSON ENTERPRISES INC,31488V107,2600224,583958306,DFND
FIRST CTZNS BANCSHARES INC D,31946M103,47384,84777557,DFND
FLUTTER ENTMT PLC,G3643J108,1412018,358652572,DFND
INTERACTIVE BROKERS GROUP IN,45841N107,6254134,430346961,DFND
INTERCONTINENTAL EXCHANGE IN,45866F104,1036199,174578808,DFND
LAMAR ADVERTISING CO NEW,512816109,723857,88614574,DFND
MASTERCARD INCORPORATED,57636Q104,460155,261740766,DFND
META PLATFORMS INC,30303M102,541167,397422221,DFND
MICROSOFT CORP,594918104,1810788,937897645,DFND
PROGRESSIVE CORP,743315103,2588638,639264154,DFND
SEAGATE TECHNOLOGY HLDNGS PL,G7997R103,1592983,376039567,DFND
TRANSUNION,89400J107,1465050,122741889,DFND
VISA INC,92826C839,2383373,813635875,DFND
