Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,2777330,496392191,SOLE,
ALPHABET INC,02079K107,1810500,440947275,SOLE,
APPLE INC,037833100,34829107,8868535515,SOLE,
ASML HOLDING N V,N07059210,80000,77447200,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,5191300,2609874162,SOLE,
DISNEY WALT CO,254687106,723000,82783500,SOLE,
MICROSOFT CORP,594918104,279200,144611640,SOLE,
NVIDIA CORPORATION,67066G104,597800,111537524,SOLE,
OCCIDENTAL PETE CORP,674599105,13556100,640525725,SOLE,
PDD HOLDINGS INC,722304102,8574194,1133251221,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,259984,72610931,SOLE,
