Company,CUSIP,Shares,Value,Discretion,PutCall
ACUITY INC,00508Y102,1363619,469616747,SOLE,
AFFIRM HLDGS INC,00827B106,6268515,458103076,SOLE,
API GROUP CORP,00187Y100,14898178,512050378,SOLE,
APPLOVIN CORP,03831W108,187836,134967679,SOLE,
AURORA INNOVATION INC,051774107,12044163,64918039,SOLE,
BIO-TECHNE CORP,09073M104,1395966,77657589,SOLE,
BIRKENSTOCK HOLDING PLC,M2029K104,886660,40121365,SOLE,
BOOKING HOLDINGS INC,09857L108,55319,298682217,SOLE,
CARVANA CO,146869102,892477,336678023,SOLE,
CBIZ INC,124805102,3925067,207871548,SOLE,
CLEAN HARBORS INC,184496107,573666,133216719,SOLE,
CLEAR SECURE INC,18467V109,6366367,212509330,SOLE,
COLLIERS INTL GROUP INC,194693107,3699124,577840160,SOLE,
COUPANG INC,22266T109,24833189,799628686,SOLE,
DOORDASH INC,25809K105,1671659,454674531,SOLE,
DUOLINGO INC,26603R106,874919,281583931,SOLE,
ENTEGRIS INC,29362U104,3765035,348115136,SOLE,
ESAB CORPORATION,29605J106,1945854,217429726,SOLE,
FERGUSON ENTERPRISES INC,31488V107,1088970,244560883,SOLE,
FIGMA INC,316841105,5369380,278509741,SOLE,
FIRSTSERVICE CORP NEW,33767E202,2216720,365175071,SOLE,
FLOOR & DECOR HLDGS INC,339750101,1645369,121263695,SOLE,
FLUTTER ENTMT PLC,G3643J108,1243988,315972952,SOLE,
GOOSEHEAD INS INC,38267D109,1542186,114769482,SOLE,
HUBSPOT INC,443573100,326711,152835406,SOLE,
INTUIT,461202103,437256,298606495,SOLE,
MASIMO CORP,574795100,620619,91572333,SOLE,
MERCADOLIBRE INC,58733R102,175436,409983406,SOLE,
OPTION CARE HEALTH INC,68404L201,7431769,206305907,SOLE,
OUTSET MED INC,690145206,1023706,14454729,SOLE,
PRIVIA HEALTH GROUP INC,74276R102,11691685,291122957,SOLE,
RBC BEARINGS INC,75524B104,2521043,983937872,SOLE,
RH,74967X103,221434,44986531,SOLE,
ROBLOX CORP,771049103,3529982,488973107,SOLE,
ROCKET COS INC,77311W101,10991236,213010154,SOLE,
ROPER TECHNOLOGIES INC,776696106,56448,28150053,SOLE,
SHIFT4 PMTS INC,82452J109,5626484,435489862,SOLE,
SHOPIFY INC,82509L107,4543835,675259319,SOLE,
SWEETGREEN INC,87043Q108,663890,5297842,SOLE,
TOAST INC,888787108,6360898,232236386,SOLE,
VEEVA SYS INC,922475108,1258853,375024897,SOLE,
VIA TRANSN INC,92556W104,200000,9616000,SOLE,
VSE CORP,918284100,865017,143800426,SOLE,
WARBY PARKER INC,93403J106,8752607,241396901,SOLE,
WEST PHARMACEUTICAL SVSC INC,955306105,1172583,307603698,SOLE,
WIX COM LTD,M98068105,1031844,183286450,SOLE,
XOMETRY INC,98423F109,669274,36455355,SOLE,
XPO INC,983793100,4331280,559904566,SOLE,
