Company,CUSIP,Shares,Value,Discretion,PutCall
ASML HOLDING N V,N07059210,118917,157069,SOLE,
ALPHABET INC,02079K107,353459,101393,SOLE,
AMAZON.COM INC,023135106,478534,99664,SOLE,
CCC INTELLIGENT SOLUTION HOLDINGS INC,12510Q100,5413036,32478,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,153725,33186,SOLE,
META PLATFORMS INC,30303M102,117628,67299,SOLE,
ILLUMINA INC COM,452327109,306460,37774,SOLE,
LIVE NATION ENTERTAINMENT IN,538034109,234765,35804,SOLE,
MASTERCARD INC,57636Q104,175472,87676,SOLE,
MICROSOFT CORP,594918104,352504,130486,SOLE,
TRANSDIGM GROUP INC,893641100,106544,123480,SOLE,
TRANSUNION COM,89400J107,817828,56586,SOLE,
