Company,CUSIP,Shares,Value,Discretion
APPLE INC,037833100,2400,495204,SOLE
BANK OZK,06417N103,916752,43142358,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,1,728800,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,48597,23606965,SOLE
CORE NATURAL RESOURCES INC,218937100,5000,348700,SOLE
DIAMONDBACK ENERGY INC,25278X109,4000,549600,SOLE
ENERGY TRANSFER L P,29273V100,166600,3020458,SOLE
ENTERPRISE PRODS PARTNERS L,293792107,5450400,169016904,SOLE
EOG RES INC,26875P101,2000,239220,SOLE
OCCIDENTAL PETE CORP,674599105,69100,2902891,SOLE
ST JOE CO,790148100,20204167,963738766,SOLE
WR BERKLEY CORP,084423102,261450,19208731,SOLE
