Company,CUSIP,Shares,Value,Discretion,PutCall
ADT INC DEL,00090Q103,41621,352530,OTR,
ADT INC DEL,00090Q103,921698,7806782,OTR,
ADT INC DEL,00090Q103,22281279,188722433,SOLE,
ADTALEM GLOBAL ED INC,00737L103,2859,363751,OTR,
ADTALEM GLOBAL ED INC,00737L103,53416,6796118,OTR,
ADTALEM GLOBAL ED INC,00737L103,1319412,167868789,SOLE,
AFFILIATED MANAGERS GROUP IN,008252108,54159,10656866,OTR,
AFFILIATED MANAGERS GROUP IN,008252108,1300916,255981241,SOLE,
AFLAC INC,001055102,2246,236863,OTR,
AFLAC INC,001055102,214369,22607355,SOLE,
ALGONQUIN PWR UTILS CORP,015857105,13112831,75136522,SOLE,
ALLSTATE CORP,020002101,118737,23902945,SOLE,
APA CORPORATION,03743Q108,299492,5477709,SOLE,
APTIV PLC,G3265R107,1386513,94587917,SOLE,
AXALTA COATING SYS LTD,G0750C108,9444,280392,OTR,
AXALTA COATING SYS LTD,G0750C108,180008,5344438,OTR,
AXALTA COATING SYS LTD,G0750C108,3792522,112599978,SOLE,
BANK AMERICA CORP,060505104,477903,22614370,SOLE,
BARRICK MNG CORP,06849F108,244597,5092510,SOLE,
BIO RAD LABS INC,090572207,1220,294410,OTR,
BIO RAD LABS INC,090572207,15175,3662031,OTR,
BIO RAD LABS INC,090572207,802229,193593902,SOLE,
BOK FINL CORP,05561Q201,61917,6044957,OTR,
BOK FINL CORP,05561Q201,1727855,168690484,SOLE,
BORGWARNER INC,099724106,64987,2175765,SOLE,
BOYD GAMING CORP,103304101,105721,8270554,OTR,
BOYD GAMING CORP,103304101,2729018,213491078,SOLE,
BRADY CORP,104674106,3660,248770,OTR,
BRINKS CO,109696104,10599,946385,OTR,
BRINKS CO,109696104,147555,13175186,OTR,
BRINKS CO,109696104,1225300,109407037,SOLE,
CAPITAL ONE FINL CORP,14040H105,188311,40065048,SOLE,
CARLYLE GROUP INC,14316J108,6407,329320,OTR,
CARLYLE GROUP INC,14316J108,224054,11516376,OTR,
CARLYLE GROUP INC,14316J108,4475083,230019266,SOLE,
CARMAX INC,143130102,3084,207276,OTR,
CARMAX INC,143130102,549893,36958309,SOLE,
CBRE GROUP INC,12504L109,2908,407469,OTR,
CBRE GROUP INC,12504L109,15483,2169478,OTR,
