Company,CUSIP,Shares,Value,Discretion
HDFC BANK LTD,40415F101,52478,3375909,DFND
ECD AUTOMOTIVE DESIGN INC,27877D104,75000,90750,DFND
ALIBABA GROUP HOLDING LTD,01609W102,122575,8825399,DFND
CONSTELLATION ENERGY CORP,21037T109,180000,36048600,DFND
VISTRA CORP,92840M102,200000,17196000,DFND
PAMPA ENERGIA SA,697660207,203767,9018727,DFND
ONITY GROUP INC,675746606,451029,10815675,DFND
BANCO MACRO SA,05961W105,464300,26618319,DFND
TRIP.COM GROUP LTD,89677Q107,585645,27525314,DFND
HIMS & HERS HEALTH INC,433000106,666962,13465962,DFND
JOYY INC,46591M109,679439,20444319,DFND
STATE STREET CORP,78462F103,695000,378232900,DFND
XOMETRY INC,98423FAB5,713000,536511,DFND
NRG ENERGY INC,629377508,800000,62288000,DFND
TERNIUM SA,880890108,934340,35084466,DFND
YPF SA,984245100,954679,19208141,DFND
STAR HOLDINGS,85512G106,966868,11660428,DFND
TRANSPORTADORA DE GAS DEL SUR SA,893870204,973183,18471013,DFND
LENDINGTREE INC,52603BAD9,1069000,995506,DFND
EVENTBRITE INC,29975EAB5,1151000,1132584,DFND
ZILLOW GROUP INC,98954MAG6,1250000,1519514,DFND
BAUSCH HEALTH COS INC,071734107,1270000,8851900,DFND
I3 VERTICALS INC,44933TAB2,1273000,1229795,DFND
H WORLD GROUP LTD,44332N106,1292410,43063100,DFND
VACASA INC,91854V206,1375448,6698431,DFND
NORTHERN OIL & GAS INC,665531AJ8,1400000,1616650,DFND
INSULET CORP,45784PAK7,1500000,1641375,DFND
INSMED INC,457669AB5,1642000,3466735,DFND
CYTOKINETICS INC,23282WAC4,1700000,2221831,DFND
BENTLEY SYSTEMS INC,08265TAD1,1725000,1549050,DFND
DEXCOM INC,252131AM9,1800000,1767600,DFND
BLOCK INC,852234AF0,1807000,1747887,DFND
KILROY REALTY CORP,49427F108,1850011,57664842,DFND
OAKTREE SPECIALTY LENDING CORP,67401P405,1852456,34844697,DFND
PENNYMAC MORTGAGE INVESTMENT TRUST,70932AAD5,2100000,2081625,DFND
TYLER TECHNOLOGIES INC,902252AB1,2100000,2310000,DFND
BLOCK INC,852234AJ2,2181000,1960282,DFND
ETSY INC,29786AAJ5,2200000,2183500,DFND
NIO INC,62914VAF3,2324000,2213598,DFND
FREEPORT-MCMORAN INC,35671D857,2417907,117510280,DFND
BRASKEM SA,105532105,2443268,15759078,DFND
AZUL SA,05501U106,2445850,9783400,DFND
ESPERION THERAPEUTICS INC,29664WAB1,2495000,2326597,DFND
VISTA ENERGY SAB DE CV,92837L109,2503714,113868912,DFND
ALVOTECH SA,L01800108,2532027,30789448,DFND
NEVRO CORP,64157FAC7,2673000,2596821,DFND
JD.COM INC,47215P106,2820695,72886758,DFND
MAGNACHIP SEMICONDUCTOR CORP,55933J203,2849858,13878808,DFND
FIVE9 INC,338307AD3,2850000,2713679,DFND
POST HOLDINGS INC,737446AT1,2894000,3187741,DFND
BIOMARIN PHARMACEUTICAL INC,09061GAH4,2936000,2919260,DFND
NEOGENOMICS INC,64049MAB6,2948000,2301282,DFND
SHIFT4 PAYMENTS INC,82452JAB5,2950000,3315711,DFND
BATTALION OIL CORP,07134L107,3009912,10053106,DFND
TELECOM ARGENTINA SA,879273209,3019088,21828006,DFND
MANNKIND CORP,56400PAQ5,3093000,3731704,DFND
ATLANTICA SUSTAINABLE INFRASTRUCTURE JERSEY LTD,04916EAB0,3161000,3104788,DFND
BRIDGEBIO PHARMA INC,10806XAB8,3191000,3239212,DFND
CARDLYTICS INC,14161WAB1,3206000,2979977,DFND
TURNING POINT BRANDS INC,90041LAE5,3210000,3232153,DFND
