Company,CUSIP,Shares,Value,Discretion,PutCall
AMAZON COM INC,023135106,2215660,511418641,SOLE,
BROADCOM INC,11135F101,32129,11119847,SOLE,
BLOOM ENERGY CORP,093712107,260730,22654831,SOLE,
CONFLUENT INC,20717M103,6933250,209661480,SOLE,
COUPANG INC,22266T109,15676794,369815571,SOLE,
COREWEAVE INC,21873S108,3213230,230099400,SOLE,
ALPHABET INC,02079K305,519290,162537770,SOLE,
GRAB HOLDINGS LIMITED,G0370L116,3502000,1029588,SOLE,
ROBINHOOD MKTS INC,770700102,1293292,146271326,SOLE,
MERCADOLIBRE INC,58733R102,68480,137936524,SOLE,
META PLATFORMS INC,30303M102,1845368,1218108963,SOLE,
MICROSOFT CORP,594918104,1277352,617752974,SOLE,
NVIDIA CORPORATION,67066G104,8099773,1510607666,SOLE,
SHOPIFY INC,82509L107,570210,91786704,SOLE,
SNOWFLAKE INC,833445109,2027604,444775213,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1219227,370510893,SOLE,
UBER TECHNOLOGIES INC,90353T100,5588792,456660194,SOLE,
ZILLOW GROUP INC,98954M200,2187421,149225860,SOLE,
