Company,CUSIP,Shares,Value,Discretion,PutCall
Adobe Inc.,00724F101,45139,10973207,SOLE,
AGCO Corporation,001084102,2086643,241781462,SOLE,
"Alexandria Real Estate Equities, Inc.",015271109,180807,8393061,SOLE,
"Alphabet Inc., Class A",02079K305,3094659,889903016,SOLE,
"Alphabet Inc., Class C",02079K107,677607,194380010,SOLE,
"Amazon.com, Inc.",023135106,3425252,713380223,SOLE,
American Express Co.,025816109,233126,70516043,SOLE,
American Homes 4 Rent - Class A,02665T306,277170,7738586,SOLE,
American Tower Corp,03027X100,64620,11152120,SOLE,
"ANGI Inc., Class A",00183L201,948993,6500602,SOLE,
"Applied Materials, Inc.",038222105,1197102,409163760,SOLE,
"AppLovin Corp., Class A",03831W108,335810,133654972,SOLE,
"AvalonBay Communities, Inc.",053484101,79970,13063100,SOLE,
Bank of America Corp.,060505104,1159204,56511195,SOLE,
Bank of N.T. Butterfield & Son Limited,G0772R208,1073129,56317810,SOLE,
Bank of New York Mellon Corp.,064058100,525228,62307765,SOLE,
"Berkshire Hathaway Inc., Class A",084670108,923,662843220,SOLE,
"Berkshire Hathaway Inc., Class B",084670702,749846,359336086,SOLE,
"Brixmor Property Group, Inc.",11120U105,563170,16219296,SOLE,
"BXP, Inc.",101121101,237190,12310161,SOLE,
Camden Property Trust,133131102,88010,8595057,SOLE,
Capital One Financial Corp.,14040H105,8539736,1557906471,SOLE,
"CBRE Group, Inc.",12504L109,25610,3469131,SOLE,
Charles Schwab Corp.,808513105,310982,29226088,SOLE,
"Chime Financial, Inc.",16935C109,2539206,47559328,SOLE,
Chubb Ltd.,H1467J104,1195391,389618110,SOLE,
Cigna Group,125523100,2233929,595905881,SOLE,
"Community Healthcare Trust, Inc.",20369C106,330040,5244336,SOLE,
ConocoPhillips,20825C104,1875428,247558331,SOLE,
COPT Defense Properties,22002T108,299200,9155520,SOLE,
"Coterra Energy, Inc.",127097103,37119404,1304375994,SOLE,
"Cousins Properties, Inc.",222795502,586465,13236515,SOLE,
"Crown Castle, Inc.",22822V101,41920,3408515,SOLE,
"Crown Holdings, Inc.",228368106,8570,859143,SOLE,
CubeSmart,229663109,92270,3381696,SOLE,
CVS Health Corporation,126650100,12239666,879053606,SOLE,
Darling Ingredients Inc.,237266101,187905,11622128,SOLE,
Davis Select Financial ETF,23908L108,2130666,95539059,SOLE,
Davis Select International ETF,23908L405,3915748,105392349,SOLE,
Davis Select U.S. Equity ETF,23908L207,3400745,172553800,SOLE,
Davis Select Worldwide ETF,23908L306,1935585,84797995,SOLE,
"Digital Realty Trust, Inc.",253868103,78880,14214965,SOLE,
"Douglas Emmett, Inc",25960P109,308250,2903715,SOLE,
"Eastgroup Properties, Inc.",277276101,52370,9693163,SOLE,
"Equinix, Inc.",29444U700,21223,20803634,SOLE,
