Company,CUSIP,Shares,Value,Discretion,PutCall
CARVANA CO,146869102,761731,132624984,SOLE,
CREDIT ACCEP CORP MICH,225310101,134188,59501643,SOLE,
DEERE & CO,244199105,5001,2087067,SOLE,
H WORLD GROUP LTD,44332N106,616337,22927736,SOLE,
INTERACTIVE BROKERS GROUP IN,45841N107,315547,43974630,SOLE,
META PLATFORMS INC,30303M102,149583,85627293,SOLE,
PAYCOM SOFTWARE INC,70432V102,12395,2064635,SOLE,
PDD HOLDINGS INC,722304102,319389,43056831,SOLE,
SALESFORCE INC,79466L302,7000,1915970,SOLE,
WIX COM LTD,M98068105,396280,66246128,SOLE,
YUM CHINA HLDGS INC,98850P109,551429,24825334,SOLE,
