Company,CUSIP,Shares,Value,Discretion
ADOBE INC,00724F101,757797,265221372,DFND
ADOBE INC,00724F101,399440,139800006,DFND
AGILENT TECHNOLOGIES INC,00846U101,2040004,277583344,DFND
AGILENT TECHNOLOGIES INC,00846U101,1075634,146361518,DFND
ALCON AG,H01301128,1863077,146829098,DFND
ALCON AG,H01301128,982044,77394888,DFND
ALPHABET INC,02079K305,1455252,455493876,DFND
ALPHABET INC,02079K305,2759982,863874366,DFND
AMERICAN TOWER CORP NEW,03027X100,1198890,210489117,DFND
AMERICAN TOWER CORP NEW,03027X100,631635,110896157,DFND
ANALOG DEVICES INC,032654105,1420038,385114306,DFND
ANALOG DEVICES INC,032654105,748754,203062085,DFND
AON PLC,G0403H108,429154,151439864,DFND
AON PLC,G0403H108,813864,287196328,DFND
APPLIED MATLS INC,038222105,1026605,263827219,DFND
APPLIED MATLS INC,038222105,1947056,500373921,DFND
BLACKROCK INC,09290D101,177545,190033515,DFND
BLACKROCK INC,09290D101,336707,360390970,DFND
BROADCOM INC,11135F101,1588869,549907561,DFND
BROADCOM INC,11135F101,3015432,1043641015,DFND
CANADIAN PACIFIC KANSAS CITY,13646K108,1451931,106905680,DFND
CANADIAN PACIFIC KANSAS CITY,13646K108,2755927,202918905,DFND
CBRE GROUP INC,12504L109,2920631,469608258,DFND
CBRE GROUP INC,12504L109,1539955,247609364,DFND
CME GROUP INC,12572Q105,543040,148293363,DFND
CME GROUP INC,12572Q105,1029977,281266119,DFND
ENTEGRIS INC,29362U104,1610550,135688838,DFND
ENTEGRIS INC,29362U104,848603,71494803,DFND
EQUIFAX INC,294429105,595181,129142373,DFND
EQUIFAX INC,294429105,1128817,244930713,DFND
FASTENAL CO,311900104,6067759,243499169,DFND
FASTENAL CO,311900104,3199129,128381047,DFND
FERGUSON ENTERPRISES INC,31488V107,685213,152548970,DFND
FERGUSON ENTERPRISES INC,31488V107,1299641,289339076,DFND
FLUTTER ENTMT PLC,G3643J108,1482365,318767770,DFND
FLUTTER ENTMT PLC,G3643J108,781660,168088166,DFND
INTERACTIVE BROKERS GROUP IN,45841N107,8354739,537293265,DFND
INTERACTIVE BROKERS GROUP IN,45841N107,4405165,283296161,DFND
INTERCONTINENTAL EXCHANGE IN,45866F104,1152409,186644162,DFND
INTERCONTINENTAL EXCHANGE IN,45866F104,2185573,353975403,DFND
IQVIA HLDGS INC,46266C105,1270964,286487995,DFND
IQVIA HLDGS INC,46266C105,670180,151065274,DFND
LIBERTY MEDIA CORP DEL,531229755,588643,57987222,DFND
LIBERTY MEDIA CORP DEL,531229755,1118256,110159399,DFND
LIVE NATION ENTERTAINMENT IN,538034109,965641,137603843,DFND
LIVE NATION ENTERTAINMENT IN,538034109,1831564,260997870,DFND
LPL FINL HLDGS INC,50212V100,241814,86368706,DFND
LPL FINL HLDGS INC,50212V100,127254,45451311,DFND
MICROSOFT CORP,594918104,826327,399628264,DFND
MICROSOFT CORP,594918104,435692,210709365,DFND
MOODYS CORP,615369105,153759,78547785,DFND
MOODYS CORP,615369105,291641,148984805,DFND
ORACLE CORP,68389X105,297157,57918871,DFND
ORACLE CORP,68389X105,563520,109835683,DFND
S&P GLOBAL INC,78409V104,1149514,600724521,DFND
S&P GLOBAL INC,78409V104,606110,316747025,DFND
SS&C TECHNOLOGIES HLDGS INC,78467J100,2788340,243756683,DFND
SS&C TECHNOLOGIES HLDGS INC,78467J100,1470153,128520775,DFND
TAIWAN SEMICONDUCTOR MFG LTD,874039100,976759,296827293,DFND
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1852519,562961999,DFND
TENCENT MUSIC ENTMT GROUP,88034P109,11406580,199957347,DFND
TENCENT MUSIC ENTMT GROUP,88034P109,7301922,128002693,DFND
THERMO FISHER SCIENTIFIC INC,883556102,571810,331335305,DFND
THERMO FISHER SCIENTIFIC INC,883556102,301512,174711128,DFND
TRADEWEB MKTS INC,892672106,927208,99711948,DFND
TRADEWEB MKTS INC,892672106,1761037,189381919,DFND
TRIP COM GROUP LTD,89677Q107,1822519,131057341,DFND
TRIP COM GROUP LTD,89677Q107,2847259,204746395,DFND
UBER TECHNOLOGIES INC,90353T100,1774739,145013924,DFND
UBER TECHNOLOGIES INC,90353T100,3365924,275029650,DFND
VISA INC,92826C839,673032,236039053,DFND
VISA INC,92826C839,1276456,447665884,DFND
YUM BRANDS INC,988498101,1346183,203650564,DFND
YUM BRANDS INC,988498101,709700,107363416,DFND
