Company,CUSIP,Shares,Value,Discretion
"Acuity Brands, Inc.",00508Y102,186126,50017640,SOLE
"Elevance Health, Inc.",036752103,154643,80188581,SOLE
Baker Hughes Company,05722G100,2493218,83522804,SOLE
Barrick Gold Corporation,067901108,3005689,50014665,SOLE
"Bath & Body Works, Inc.",070830104,1898814,94978676,SOLE
"Berkshire Hathaway, Inc. Cl B",084670702,211085,88765464,SOLE
"CF Industries Holding, Inc.",125269100,785065,65325259,SOLE
Capital One Financial Corp,14040H105,805591,119944444,SOLE
"Cardinal Health, Inc.",14149Y108,536567,60041848,SOLE
Centene Corporation,15135B101,1174849,92202149,SOLE
Chevron Corporation,166764100,71840,11332042,SOLE
Cleveland-Cliffs Inc.,185899101,3831468,87127583,SOLE
Constellation Energy Corporation,21037T109,360012,66548218,SOLE
FedEx Corporation,31428X106,271042,78531709,SOLE
Fidelity National Information Services,31620M106,1502649,111466503,SOLE
GE HealthCare Technologies,36266G107,735751,66887123,SOLE
General Motors Company,37045V100,2652780,120303573,SOLE
"Hologic, Inc.",436440101,1108527,86420765,SOLE
"Huntington Ingalls Industries, Inc.",446413106,229309,66836695,SOLE
"Kinder Morgan, Inc.",49456B101,4907966,90012096,SOLE
The Kraft Heinz Company,500754106,2480321,91523845,SOLE
The Kroger Co.,501044101,1433529,81897512,SOLE
Lennar Corporation,526057104,411279,70731762,SOLE
Merck & Co. Inc.,58933Y105,693292,91479880,SOLE
Oracle Corporation,68389X105,695817,87401574,SOLE
Organon & Company,68622V106,5024748,94465262,SOLE
PVH Corp.,693656100,949566,133518475,SOLE
PACCAR Inc.,693718108,545036,67524510,SOLE
Pfizer Inc.,717081103,2556232,70935438,SOLE
Teva Pharmaceutical  Industries Ltd ADR,881624209,7494690,105750076,SOLE
TotalEnergies SE ADR,89151E109,1042815,71776956,SOLE
Vistra Corp.,92840M102,1435872,100008485,SOLE
Wells Fargo & Company,949746101,2142026,124151827,SOLE
Willis Towers Watson PLC,G96629103,296452,81524300,SOLE
Perrigo Company PLC,G97822103,2273819,73194233,SOLE
Checkpoint Software Technologies,M22465104,475811,78037762,SOLE
NXP Semiconductors NV,N6596X109,322341,79866430,SOLE
Flex Ltd.,Y2573F102,4294630,122869364,SOLE
