Company,CUSIP,Shares,Value,Discretion
Affiliated Managers Group Inc.,008252108,250819,42004658,SOLE
Affiliated Managers Group Inc.,008252108,5562,931468,DFND
Affiliated Managers Group Inc.,008252108,581497,97383303,DFND
Alphabet Inc. CL C,02079K107,5299,806826,DFND
Anywhere Real Estate Inc,75605Y106,5548,34287,SOLE
Anywhere Real Estate Inc,75605Y106,33244,205448,DFND
Anywhere Real Estate Inc,75605Y106,5710068,35288220,DFND
Atlanta Braves Holdings Inc Cl,047726302,1026,40076,SOLE
Atlanta Braves Holdings Inc Cl,047726302,982236,38366138,DFND
Bio-Rad Laboratories Inc,090572207,108419,37498880,SOLE
Bio-Rad Laboratories Inc,090572207,2416,835622,DFND
Bio-Rad Laboratories Inc,090572207,233124,80630598,DFND
Boston Beer Company Inc.,100557107,113,34399,SOLE
Boston Beer Company Inc.,100557107,106204,32330622,DFND
Cardinal Health Inc,14149Y108,14267,1596477,DFND
CNH Industrial NV - U.S.,N20944109,1516797,19657689,SOLE
CNH Industrial NV - U.S.,N20944109,5969924,77370215,DFND
CNX Resources Corp,12653C108,2267095,53775493,SOLE
CNX Resources Corp,12653C108,6786850,160984082,DFND
Douglas Emmett Inc,25960P109,1514,20999,SOLE
Douglas Emmett Inc,25960P109,1329830,18444742,DFND
Empire State Realty Trust Inc.,292104106,3604,36509,SOLE
Empire State Realty Trust Inc.,292104106,3064544,31043831,DFND
Enovis Corporation,194014502,18435,1151266,DFND
FedEx Corporation,31428X106,179489,52005143,SOLE
FedEx Corporation,31428X106,4451,1289633,DFND
FedEx Corporation,31428X106,358308,103816160,DFND
Fidelity National Information,31620M106,513995,38128149,SOLE
Fidelity National Information,31620M106,17206,1276341,DFND
Fidelity National Information,31620M106,1089722,80835578,DFND
Fiserv Inc,337738108,48367,7730014,SOLE
Fiserv Inc,337738108,178443,28518760,DFND
GE Healthcare Holding LLC,36266G107,13159,1196285,DFND
Graham Holdings Company,384637104,19143,14695698,SOLE
Graham Holdings Company,384637104,1229,943479,DFND
Graham Holdings Company,384637104,67379,51725511,DFND
H World Group Limited ADR,44332N106,452006,17492632,SOLE
H World Group Limited ADR,44332N106,568962,22018829,DFND
HDFC BANK LTD-ADR,40415F101,124375,6961269,SOLE
Hyatt Hotels Corp. -  Class A,448579102,61599,9832432,SOLE
Hyatt Hotels Corp. -  Class A,448579102,7733,1234341,DFND
Hyatt Hotels Corp. -  Class A,448579102,372995,59537462,DFND
IAC Inc,44891N208,853595,45530757,SOLE
IAC Inc,44891N208,1735783,92586665,DFND
Ingles Markets Incorporated -,457030104,464,35580,SOLE
Ingles Markets Incorporated -,457030104,440184,33753309,DFND
Kellanova,487836108,663587,38016899,SOLE
Kellanova,487836108,1425295,81655151,DFND
Lazard Inc,52110M109,18608,779117,DFND
Liberty Broadband Corporation,530307305,182435,10440755,SOLE
Liberty Broadband Corporation,530307305,761905,43603823,DFND
Live Nation Entertainment Inc,538034109,360499,38129979,SOLE
Live Nation Entertainment Inc,538034109,11471,1213288,DFND
Live Nation Entertainment Inc,538034109,794607,84045582,DFND
Madison Square Garden Sports C,55825T103,3218,593785,DFND
"Mattel, Inc.",577081102,1714841,33971000,SOLE
"Mattel, Inc.",577081102,26668,528293,DFND
"Mattel, Inc.",577081102,6799175,134691657,DFND
Melco Resorts & Entertainment,585464100,90270,650847,SOLE
MGM Resorts International,552953101,609510,28774967,SOLE
MGM Resorts International,552953101,13897,656077,DFND
MGM Resorts International,552953101,1402510,66212497,DFND
Oscar Health Inc,687793109,3604,53591,SOLE
Oscar Health Inc,687793109,3067848,45618900,DFND
Park Hotels & Resorts Inc.,700517105,2587,45247,SOLE
Park Hotels &amp; Resorts Inc.,700517105,2425421,42420613,DFND
PayPal Holdings Inc,70450Y103,186020,12461480,SOLE
PayPal Holdings Inc,70450Y103,22463,1504796,DFND
PayPal Holdings Inc,70450Y103,686174,45966796,DFND
PotlatchDeltic Corporation,737630103,1024,48148,SOLE
PotlatchDeltic Corporation,737630103,871097,40958981,DFND
PVH Corp,693656100,66941,9412574,SOLE
PVH Corp,693656100,247809,34844423,DFND
RTX Corporation,75513E101,160092,15613773,SOLE
RTX Corporation,75513E101,635612,61991238,DFND
RXO Inc.,74982T103,43731,956397,DFND
SharkNinja Inc,G8068L108,723062,45039532,SOLE
Warner Bros Discovery Inc,934423104,3833058,33462596,SOLE
Warner Bros Discovery Inc,934423104,59588,520203,DFND
Warner Bros Discovery Inc,934423104,7696981,67194644,DFND
Warner Music Group Corp.,934550203,630488,20818714,SOLE
Warner Music Group Corp.,934550203,1677997,55407461,DFND
Westrock Coffee Company,96145W103,5942,61381,SOLE
Westrock Coffee Company,96145W103,183665,1897259,DFND
Westrock Coffee Company,96145W103,86093,889341,DFND
Westrock Coffee Company,96145W103,5231296,54039288,DFND
White Mountains Insurance Grou,G9618E107,1765,3166939,SOLE
White Mountains Insurance Grou,G9618E107,22943,41166625,DFND
XPO Logistics Inc,983793100,13012,1587854,DFND
