Company,CUSIP,Shares,Value,Discretion
"Elevance Health, Inc.",036752103,119497,62138440,SOLE
"Avantor, Inc.",05352A100,3522109,91116959,SOLE
Baker Hughes Company,05722G100,1957826,70775410,SOLE
Barrick Gold Corporation,067901108,4353844,86597957,SOLE
"Bath & Body Works, Inc.",070830104,2450592,78222897,SOLE
"Berkshire Hathaway, Inc. C",084670702,131114,60346530,SOLE
"CF Industries Holdings, In",125269100,867140,74400612,SOLE
CVS Health Corporation,126650100,1140812,71734258,SOLE
"Coterra Energy, Inc.",127097103,4016396,96192684,SOLE
Capital One Financial Corp,14040H105,732387,109660306,SOLE
"Cardinal Health, Inc.",14149Y108,553413,61163205,SOLE
Centene Corporation,15135B101,836674,62984819,SOLE
The Walt Disney Company,254687106,951291,91504681,SOLE
FedEx Corporation,31428X106,214031,58576004,SOLE
Fidelity National Informat,31620M106,1120007,93800587,SOLE
GE HealthCare Technologies,36266G107,756133,70963083,SOLE
General Motors Company,37045V100,2141339,96017641,SOLE
"Hologic, Inc.",436440101,1016964,82841887,SOLE
Huntington Ingalls Industr,446413106,234904,62103920,SOLE
Incyte Corporation,45337C102,605348,40013503,SOLE
"Kinder Morgan, Inc.",49456B101,3604126,79615143,SOLE
The Kraft Heinz Company,500754106,1937267,68017444,SOLE
The Kroger Co.,501044101,1483434,85000768,SOLE
Lennar Corporation,526057104,353340,66244183,SOLE
Merck & Co. Inc.,58933Y105,547423,62165356,SOLE
Newmont Corporation,651639106,167030,8927754,SOLE
Oracle Corporation,68389X105,424316,72303446,SOLE
Organon & Company,68622V106,5141084,98348936,SOLE
PVH Corp.,693656100,987973,99617318,SOLE
"PayPal Holdings, Inc.",70450Y103,1077563,84082241,SOLE
Pfizer Inc.,717081103,2748790,79549983,SOLE
Public Service Enterprise,744573106,831998,74222541,SOLE
Teva Pharmaceutical Indust,881624209,5976844,107702728,SOLE
Vistra Corp.,92840M102,785100,93065754,SOLE
Wells Fargo & Company,949746101,1772495,100128242,SOLE
Willis Towers Watson PLC,G96629103,339926,100118405,SOLE
Perrigo Company PLC,G97822103,2658912,69743262,SOLE
Check Point Software,M22465104,336560,64892134,SOLE
NXP Semiconductors NV,N6596X109,259968,62394920,SOLE
Flex Ltd.,Y2573F102,2317798,77483988,SOLE
