Company,CUSIP,Shares,Value,Discretion,PutCall
ADOBE INC,00724F101,9900,5126022,SOLE,
AIR PRODS & CHEMS INC,009158106,1165,346867,SOLE,
ALPHABET INC,02079K107,1741,291078,SOLE,
ALPHABET INC,02079K305,35700,5920845,SOLE,
AMAZON COM INC,023135106,49770,9273644,SOLE,
ANHEUSER BUSCH INBEV SA/NV,03524A108,132101,8756975,SOLE,
AT&T INC,00206R102,460713,10135683,SOLE,
BAXTER INTL INC,071813109,222703,8456033,SOLE,
BECTON DICKINSON & CO,075887109,25133,6059566,SOLE,
BIOGEN INC,09062X103,35253,6833442,SOLE,
BOEING CO,097023105,47533,7226917,SOLE,
BRISTOL-MYERS SQUIBB CO,110122108,160445,8301424,SOLE,
CAMPBELL SOUP CO,134429109,144006,7044774,SOLE,
CARMAX INC,143130102,115219,8915646,SOLE,
COMCAST CORP NEW,20030N101,149005,6223939,SOLE,
CONAGRA BRANDS INC,205887102,195334,6352262,SOLE,
CONSTELLATION BRANDS INC,21036P108,1081,278563,SOLE,
CVS HEALTH CORP,126650100,121527,7641618,SOLE,
DISNEY WALT CO,254687106,67980,6538996,SOLE,
DUPONT DE NEMOURS INC,26614N102,113244,10091173,SOLE,
EMERSON ELEC CO,291011104,58818,6432925,SOLE,
EQUIFAX INC,294429105,11845,3480772,SOLE,
GE AEROSPACE,369604301,1709,322283,SOLE,
GSK PLC,37733W204,196896,8049108,SOLE,
HOME DEPOT INC,437076102,670,271484,SOLE,
INTEL CORP,458140100,269788,6329226,SOLE,
INTERNATIONAL FLAVORS&FRAGRA,459506101,100326,10527207,SOLE,
ISHARES TR,464287200,412,237650,SOLE,
ISHARES TR,464287465,24967,2087975,SOLE,
ISHARES TR,464287499,2482,218736,SOLE,
KRAFT HEINZ CO,500754106,239719,8416534,SOLE,
LAUDER ESTEE COS INC,518439104,81795,8154144,SOLE,
MEDTRONIC PLC,G5960L103,3207,288726,SOLE,
MICROSOFT CORP,594918104,23668,10184340,SOLE,
NIKE INC,654106103,79408,7019667,SOLE,
NORDSTROM INC,655664100,289275,6505795,SOLE,
NUCOR CORP,670346105,42943,6456051,SOLE,
PFIZER INC,717081103,231059,6686847,SOLE,
PRICE T ROWE GROUP INC,74144T108,52455,5713923,SOLE,
RTX CORPORATION,75513E101,2738,331736,SOLE,
SALESFORCE INC,79466L302,21205,5804021,SOLE,
SERVICENOW INC,81762P102,354,316614,SOLE,
SIMON PPTY GROUP INC NEW,828806109,56521,9553179,SOLE,
SPDR S&P 500 ETF TR,78462F103,2228,1278337,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1730,300449,SOLE,
UNITEDHEALTH GROUP INC,91324P102,471,275384,SOLE,
US BANCORP DEL,902973304,162778,7443838,SOLE,
VERIZON COMMUNICATIONS INC,92343V104,143731,6454959,SOLE,
WARNER BROS DISCOVERY INC,934423104,1133772,9353619,SOLE,
WELLS FARGO CO NEW,949746101,161251,9109069,SOLE,
WESTERN UN CO,959802109,456575,5446940,SOLE,
ZIMMER BIOMET HOLDINGS INC,98956P102,80687,8710162,SOLE,
