Company,CUSIP,Shares,Value,Discretion
AMAZON COM INC,023135106,4352740,828152312,SOLE
APPLOVIN CORP,03831W108,315600,83624532,SOLE
APPLOVIN CORP,03831W108,1593928,422343102,SOLE
ARES MANAGEMENT CORPORATION,03990B101,1604441,235227095,SOLE
ASML HOLDING N V,N07059210,582427,385933603,SOLE
CADENCE DESIGN SYSTEM INC,127387108,1218389,309872874,SOLE
CAPITAL ONE FINL CORP,14040H105,3176143,569482440,SOLE
CARVANA CO,146869102,2314168,483846245,SOLE
CARVANA CO,146869102,383500,80182180,SOLE
ELI LILLY & CO,532457108,551827,455759438,SOLE
FLUTTER ENTMT PLC,G3643J108,2219896,491817959,SOLE
INTUIT,461202103,1403802,861920390,SOLE
KKR & CO INC,48251W104,4763771,550739565,SOLE
LPL FINL HLDGS INC,50212V100,1764015,577079867,SOLE
META PLATFORMS INC,30303M102,1758062,1013276614,SOLE
MICROSOFT CORP,594918104,1960328,735887528,SOLE
PHILIP MORRIS INTL INC,718172109,3008542,477545872,SOLE
SALESFORCE INC,79466L302,1731680,464713645,SOLE
STARBUCKS CORP,855244109,6607888,648167734,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,3865381,641653246,SOLE
TALEN ENERGY CORP,87422Q109,1089380,217516505,SOLE
TOLL BROTHERS INC,889478103,3800580,401303242,SOLE
VISTRA CORP,92840M102,4604788,540786303,SOLE
WINGSTOP INC,974155103,449056,101298052,SOLE
