Company,CUSIP,Shares,Value,Discretion
GRAPHIC PACKAGING HLDG CO,388689101,427225,11603431,DFND
HAGERTY INC,405166109,3108000,29992200,SOLE
HANOVER INS GROUP INC,410867105,6000,927960,SOLE
HANOVER INS GROUP INC,410867105,261000,40366260,DFND
HCA HEALTHCARE INC,40412C101,56580,16982487,DFND
HEICO CORP NEW,422806208,12202,2270548,SOLE
HEICO CORP NEW,422806208,367442,68373608,DFND
HERSHEY CO,427866108,45000,7620750,DFND
HEXCEL CORP NEW,428291108,38000,2382600,SOLE
HEXCEL CORP NEW,428291108,151000,9467700,DFND
HOME DEPOT INC,437076102,276906,107713665,SOLE
HOME DEPOT INC,437076102,643094,250157135,DFND
HUNTINGTON INGALLS INDS INC,446413106,4000,755880,DFND
ILLINOIS TOOL WKS INC,452308109,16851,4272740,SOLE
ILLINOIS TOOL WKS INC,452308109,310649,78768160,DFND
INSPERITY INC,45778Q107,131728,10210237,DFND
INTERCONTINENTAL EXCHANGE IN,45866F104,5120,762931,DFND
INTUIT,461202103,2720,1709520,DFND
INVESTORS TITLE CO NC,461804106,213300,50500908,DFND
IQVIA HLDGS INC,46266C105,58726,11540246,DFND
JOHNSON & JOHNSON,478160104,26715,3863523,SOLE
JOHNSON & JOHNSON,478160104,584085,84470372,DFND
JPMORGAN CHASE & CO.,46625H100,252550,60538761,DFND
KKR & CO INC,48251W104,18000,2662380,SOLE
KKR & CO INC,48251W104,1433800,212073358,DFND
LAMAR ADVERTISING CO NEW,512816109,124000,15095760,DFND
LAUDER ESTEE COS INC,518439104,15000,1124700,DFND
LINDE PLC,G54950103,7400,3098158,SOLE
LINDE PLC,G54950103,160600,67238402,DFND
LOCKHEED MARTIN CORP,539830109,56363,27389036,DFND
LOWES COS INC,548661107,61748,15239406,SOLE
LOWES COS INC,548661107,639732,157885858,DFND
LPL FINL HLDGS INC,50212V100,2289,747381,SOLE
LPL FINL HLDGS INC,50212V100,530115,173087849,DFND
MARRIOTT INTL INC NEW,571903202,47000,13110180,DFND
MARSH & MCLENNAN COS INC,571748102,20500,4354405,SOLE
MARSH & MCLENNAN COS INC,571748102,715000,151873151,DFND
MASTERCARD INCORPORATED,57636Q104,19984,10522975,SOLE
MASTERCARD INCORPORATED,57636Q104,187556,98761363,DFND
META PLATFORMS INC,30303M102,21610,12652871,SOLE
META PLATFORMS INC,30303M102,256771,150341988,DFND
MGM RESORTS INTERNATIONAL,552953101,40000,1386000,DFND
MICROSOFT CORP,594918104,23619,9955409,SOLE
MICROSOFT CORP,594918104,495861,209005414,DFND
MOODYS CORP,615369105,21096,9986214,SOLE
MOODYS CORP,615369105,192794,91262896,DFND
MSCI INC,55354G100,1000,600010,SOLE
MSCI INC,55354G100,141850,85111418,DFND
NIKE INC,654106103,46000,3480820,SOLE
NIKE INC,654106103,386400,29238888,DFND
NORFOLK SOUTHN CORP,655844108,29000,6806300,SOLE
NORFOLK SOUTHN CORP,655844108,200500,47057350,DFND
NOVO-NORDISK A S,670100205,1191840,102522077,SOLE
NOVO-NORDISK A S,670100205,958160,82420924,DFND
NVR INC,62944T105,175,1431308,SOLE
NVR INC,62944T105,11639,95194217,DFND
O-I GLASS INC,67098H104,100,1084,SOLE
O-I GLASS INC,67098H104,824000,8932160,DFND
OLD DOMINION FREIGHT LINE IN,679580100,6000,1058400,SOLE
OLD DOMINION FREIGHT LINE IN,679580100,294700,51985080,DFND
OTIS WORLDWIDE CORP,68902V107,27300,2528253,SOLE
OTIS WORLDWIDE CORP,68902V107,87320,8086707,DFND
PAYCHEX INC,704326107,70000,9815400,SOLE
PAYCHEX INC,704326107,80000,11217600,DFND
PEPSICO INC,713448108,96210,14629693,DFND
PHILIP MORRIS INTL INC,718172109,114500,13780075,DFND
PRICE T ROWE GROUP INC,74144T108,32000,3618880,SOLE
PRICE T ROWE GROUP INC,74144T108,282000,31891381,DFND
PROGRESSIVE CORP,743315103,60000,14376600,SOLE
PROGRESSIVE CORP,743315103,693750,166229438,DFND
RENAISSANCERE HLDGS LTD,G7496G103,3000,746430,SOLE
RENAISSANCERE HLDGS LTD,G7496G103,67000,16670270,DFND
RLI CORP,749607107,96475,15901974,SOLE
RLI CORP,749607107,1100797,181444370,DFND
ROCKWELL AUTOMATION INC,773903109,7900,2257741,SOLE
ROCKWELL AUTOMATION INC,773903109,147000,42011130,DFND
ROLLINS INC,775711104,62475,2895716,SOLE
ROLLINS INC,775711104,1399800,64880732,DFND
RTX CORPORATION,75513E101,54600,6318312,SOLE
RTX CORPORATION,75513E101,169400,19602968,DFND
S&P GLOBAL INC,78409V104,1000,498030,SOLE
S&P GLOBAL INC,78409V104,149690,74550111,DFND
SCHWAB CHARLES CORP,808513105,129000,9547290,SOLE
SCHWAB CHARLES CORP,808513105,1234800,91387548,DFND
SCOTTS MIRACLE-GRO CO,810186106,9000,597060,SOLE
SCOTTS MIRACLE-GRO CO,810186106,159000,10548060,DFND
SEI INVTS CO,784117103,59000,4866320,SOLE
SEI INVTS CO,784117103,114200,9419216,DFND
SHERWIN WILLIAMS CO,824348106,94172,32011888,DFND
SHOPIFY INC,82509L107,102750,10925408,DFND
SONY GROUP CORP,835699307,335000,7088600,DFND
SPOTIFY TECHNOLOGY S A,L8681T102,25900,11587142,DFND
STARBUCKS CORP,855244109,40500,3695625,SOLE
STARBUCKS CORP,855244109,576818,52634643,DFND
TARGET CORP,87612E106,7500,1013850,SOLE
TARGET CORP,87612E106,125500,16965090,DFND
TEXAS INSTRS INC,882508104,1,188,SOLE
TEXAS INSTRS INC,882508104,723999,135757053,DFND
THERMO FISHER SCIENTIFIC INC,883556102,41100,21381454,DFND
TRANSUNION,89400J107,3000,278130,SOLE
TRANSUNION,89400J107,98050,9090216,DFND
TYSON FOODS INC,902494103,10000,574400,SOLE
TYSON FOODS INC,902494103,788500,45291440,DFND
UBER TECHNOLOGIES INC,90353T100,109000,6574880,DFND
UNION PAC CORP,907818108,11100,2531244,SOLE
UNION PAC CORP,907818108,74678,17029572,DFND
UNITED RENTALS INC,911363109,29650,20886646,DFND
UNITEDHEALTH GROUP INC,91324P102,26714,13513544,DFND
VERISK ANALYTICS INC,92345Y106,2500,688575,SOLE
VERISK ANALYTICS INC,92345Y106,153450,42264734,DFND
VISA INC,92826C839,76150,24066446,SOLE
VISA INC,92826C839,923135,291747585,DFND
WATSCO INC,942622200,41600,19713824,SOLE
WATSCO INC,942622200,548900,260118222,DFND
WELLS FARGO CO NEW,949746101,32000,2247680,SOLE
WELLS FARGO CO NEW,949746101,172450,12112888,DFND
WILLIS TOWERS WATSON PLC LTD,G96629103,8627,2702320,DFND
YUM BRANDS INC,988498101,205502,27570148,DFND
