Company,CUSIP,Shares,Value,Discretion,PutCall
ABBOTT LABS,002824100,16141237,1834612956,SOLE,
ACCENTURE PLC IRELAND,G1151C101,4628987,1604453183,SOLE,
ADOBE INC,00724F101,2836122,1431107147,SOLE,
AIRBNB INC,009066101,10729752,1769979935,SOLE,
ALARM COM HLDGS INC,011642105,125424,9089506,SOLE,
ALIGHT INC,01626W101,1287304,12679942,SOLE,
ALIGN TECHNOLOGY INC,016255101,1216069,398773479,SOLE,
ALPHABET INC,02079K107,18078336,2752607431,SOLE,
ALPHABET INC,02079K305,2135363,322290324,SOLE,
AMAZON COM INC,023135106,34411241,6207099652,SOLE,
AMN HEALTHCARE SVCS INC,001744101,58749,3672398,SOLE,
AON PLC,G0403H108,830116,277026204,SOLE,
APPFOLIO INC,03783C100,26454,6527318,SOLE,
ASML HOLDING N V,N07059210,51109,49599972,SOLE,
ASPEN TECHNOLOGY INC,29109X106,11408,2433098,SOLE,
AUTODESK INC,052769106,4938732,1286144675,SOLE,
AUTOMATIC DATA PROCESSING IN,053015103,502060,125510034,SOLE,
BIO-TECHNE CORP,09073M104,37024,2606119,SOLE,
BLACKLINE INC,09239B109,108764,7024002,SOLE,
BOWMAN CONSULTING GROUP LTD,103002101,55838,1942616,SOLE,
BUMBLE INC,12047B105,98635,1119507,SOLE,
CCC INTELLIGENT SOLUTIONS HL,12510Q100,564831,6755378,SOLE,
CHARLES RIV LABS INTL INC,159864107,6060,1641957,SOLE,
CLEARWATER ANALYTICS HLDGS I,185123106,546482,9667264,SOLE,
COPA HOLDINGS SA,P31076105,13973,1455428,SOLE,
CORE & MAIN INC,21874C102,160014,9160810,SOLE,
DLOCAL LTD,G29018101,1279920,18814824,SOLE,
DOXIMITY INC,26622P107,166789,4488298,SOLE,
DYNATRACE INC,268150109,73856,3429873,SOLE,
ELI LILLY & CO,532457108,584806,454955577,SOLE,
ENDAVA PLC,29260V105,70331,2675405,SOLE,
EPAM SYS INC,29414B104,35705,9860293,SOLE,
ETSY INC,29786A106,38239,2627784,SOLE,
EURONET WORLDWIDE INC,298736109,75985,8352989,SOLE,
EXLSERVICE HOLDINGS INC,302081104,310415,9871205,SOLE,
FIRSTSERVICE CORP NEW,33767E202,35863,5946038,SOLE,
FIVE BELOW INC,33829M101,22630,4104629,SOLE,
FLOOR & DECOR HLDGS INC,339750101,15655,2029201,SOLE,
FORUM ENERGY TECHNOLOGIES IN,34984VAC4,23813049,23628131,DFND,
FOX FACTORY HLDG CORP,35138V102,94073,4898356,SOLE,
FREEPORT-MCMORAN INC,35671D857,10410,489478,SOLE,
GARTNER INC,366651107,1748829,833614390,SOLE,
