Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,633201,45818396,SOLE
ALPHABET INC,02079K305,601537,90790014,SOLE
AMAZON COM INC,023135106,643989,116162743,SOLE
BIOGEN INC,09062X103,217887,46983015,SOLE
BRILLIANT EARTH GROUP INC,109504100,250000,747500,SOLE
CANADA GOOSE HLDGS INC,135086106,4133561,49850740,SOLE
CAPITAL ONE FINL CORP,14040H105,252467,37589836,SOLE
CHESAPEAKE ENERGY CORP,165167735,273385,24284747,SOLE
CITIGROUP INC,172967424,1777075,112382218,SOLE
COINBASE GLOBAL INC,19260Q107,217836,57752646,SOLE
CROCS INC,227046109,419057,60260447,SOLE
CVS HEALTH CORP,126650100,572574,45668474,SOLE
DELTA AIR LINES INC DEL,247361702,1916503,91742991,SOLE
DIAMONDBACK ENERGY INC,25278X109,3000,594510,SOLE
ENERGY TRANSFER L P,29273V100,5678229,89318535,SOLE
EXPEDIA GROUP INC,30212P303,729594,100501528,SOLE
FIDELITY WISE ORIGIN BITCOIN,315948109,112401,6975606,SOLE
FISERV INC,337738108,233445,37309152,SOLE
GENERAL MTRS CO,37045V100,1797772,81528981,SOLE
IAC INC,44891N208,1437311,76666168,SOLE
ILLUMINA INC,452327109,245287,33682868,SOLE
JPMORGAN CHASE & CO,46625H100,216724,43409858,SOLE
KOSMOS ENERGY LTD,500688106,8039144,47913298,SOLE
LENNAR CORP,526057302,12500,1927250,SOLE
MATTEL INC,577081102,3166784,62733991,SOLE
META PLATFORMS INC,30303M102,164999,80120158,SOLE
NORWEGIAN CRUISE LINE HLDG L,G66721104,2413260,50509525,SOLE
NVIDIA CORPORATION,67066G104,60606,54761028,SOLE
ONEMAIN HLDGS INC,68268W103,1863738,95218376,SOLE
PELOTON INTERACTIVE INC,70614W100,6135576,26290945,SOLE
PRECIGEN INC,74017N105,17453455,25307509,SOLE
ROCKET COS INC,77311W101,142791,2077609,SOLE
ROYALTY PHARMA PLC,G7709Q104,1419818,43119875,SOLE
SEADRILL 2021 LTD,G7997W102,900306,45285387,SOLE
SOFI TECHNOLOGIES INC,83406F102,3760597,27452358,SOLE
TEVA PHARMACEUTICAL INDS LTD,881624209,100000,1411000,SOLE
TRAVEL PLUS LEISURE CO,894164102,989425,48442252,SOLE
UBER TECHNOLOGIES INC,90353T100,473467,36452248,SOLE
UBS GROUP AG,H42097107,2339900,71881740,SOLE
UNITED AIRLS HLDGS INC,910047109,1110352,53163641,SOLE
VONTIER CORPORATION,928881101,30000,1360800,SOLE
WESTERN ALLIANCE BANCORP,957638109,450891,28942715,SOLE
