Company,CUSIP,Shares,Value,Discretion,PutCall
ANHEUSER BUSCH INBEV SA/NV,03524A108,1703000,103508340,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,17303097,7276298350,SOLE,
CANADIAN NATL RY CO,136375102,54826786,7221235984,SOLE,
CARVANA CO,146869102,520000,45713200,SOLE,
CATERPILLAR INC,149123101,7353614,2694584778,SOLE,
COCA-COLA FEMSA SAB DE CV,191241108,6214719,604070687,SOLE,
COUPANG INC,22266T109,9248045,164522721,SOLE,
CROWN CASTLE INC,22822V101,1420072,150286220,SOLE,
DANAHER CORPORATION,235851102,373000,93145560,SOLE,
DEERE & CO,244199105,3557378,1461157440,SOLE,
ECOLAB INC,278865100,5218044,1204846360,SOLE,
FEDEX CORP,31428X106,1534362,444566046,SOLE,
HORMEL FOODS CORP,440452100,2195290,76593668,SOLE,
KRAFT HEINZ CO,500754106,2622600,96773940,SOLE,
MADISON SQUARE GRDN SPRT COR,55825T103,592406,109310755,SOLE,
MICROSOFT CORP,594918104,36499597,15356110450,SOLE,
ON HLDG AG,H5919C104,500000,17690000,SOLE,
SCHRODINGER INC,80810D103,6981664,188504928,SOLE,
UNITED PARCEL SERVICE INC,911312106,755089,112228878,SOLE,
VERALTO CORP,92338C103,124333,11023364,SOLE,
VROOM INC,92918V208,31250,419688,SOLE,
WALMART INC,931142103,9090477,546974001,SOLE,
WASTE CONNECTIONS INC,94106B101,2149175,369679592,SOLE,
WASTE MGMT INC DEL,94106L109,35234344,7510200424,SOLE,
