Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,32520,9351451,SOLE,
CARVANA CO,146869102,377298,118818309,SOLE,
CREDIT ACCEP CORP MICH,225310101,124160,52697453,SOLE,
DEERE & CO,244199105,5001,2817063,SOLE,
H WORLD GROUP LTD,44332N106,558380,28080930,SOLE,
INTERACTIVE BROKERS GROUP IN,45841N107,757919,51111227,SOLE,
META PLATFORMS INC,30303M102,145534,83313117,SOLE,
MICROSOFT CORP,594918104,25220,9407607,SOLE,
MORNINGSTAR INC,617700109,3700,653790,SOLE,
PAYCOM SOFTWARE INC,70432V102,21395,2676998,SOLE,
SALESFORCE INC,79466L302,15511,2895439,SOLE,
SPOTIFY TECHNOLOGY S A,L8681T102,500,242455,SOLE,
YUM CHINA HLDGS INC,98850P109,421539,20562673,SOLE,
