Company,CUSIP,Shares,Value,Discretion,PutCall
ALIGN TECHNOLOGY INC,016255101,45691,5721427,DFND,
ALPHABET INC,02079K305,359143,87307663,DFND,
ALPHABET INC C,02079K107,638213,155436776,DFND,
AMETEK INC,031100100,996676,187375088,DFND,
ANALOG DEVICES INC,032654105,176468,43358188,DFND,
APPLE INC,037833100,16875,4296881,DFND,
ARISTA NETWORKS INC,040413205,412399,60090658,SOLE,
BANK OZK LITTLE ROCK ARK,06417N103,1261960,64334721,DFND,
BERKSHIRE HATHAWAY INC DEL,084670108,11,8472035,DFND,
BERKSHIRE HATHAWAY INC DEL,084670702,510644,256721165,DFND,
BIRKENSTOCK HLDG PLC,M2029K104,27392,1239488,SOLE,
BOOKING HOLDINGS INC.,09857L108,21343,115236620,DFND,
BROWN & BROWN,115236101,322246,30223452,DFND,
BUILDERS FIRSTSOURCE INC,12008R107,87096,194920848,SOLE,
CAPITAL ONE FC,14040H105,8275,1759100,SOLE,
CARMAX INC,143130102,1670114,74938015,DFND,
COPART INC,217204106,27484,1235955,SOLE,
COSTCO WHSL CORP NEW,22160K105,240,221837,SOLE,
CREDIT ACCEP CORP MICH,225310101,6874,2584624,SOLE,
DISNEY WALT CO,254687106,260400,29815800,DFND,
DREAM FINDERS HOMES,26154D100,32202,834676,SOLE,
FERGUSON ENTERPRISES INC,31488V107,35503,7973264,SOLE,
FISERV INC,337738108,651257,83966565,DFND,
FIVE BELOW INC,33829M101,637090,98557823,DFND,
FLOOR & DECOR HLDGS INC,339750101,236148,17404108,DFND,
HEICO CORP NEW,422806208,749501,190440709,DFND,
INSTALLED BLDG PRODS INC,45780R101,514736,126964782,DFND,
ISHARES TR,464288752,11561,1239917,DFND,
JPMORGAN CHASE & CO,46625H100,50705,15993878,DFND,
KEYSIGHT TECHNOLOGIES INC,49338L103,333927,58410511,DFND,
KINSALE CAPITAL GROUP IN,49714P108,190462,80995870,DFND,
LITTELFUSE INC,537008104,81257,21046376,DFND,
LULULEMON ATHLETICA INC,550021109,144001,25622098,DFND,
M & T BK CORP,55261F104,7540,1490055,DFND,
MARKEL CORP,570535104,43829,83772997,DFND,
MASTERCARD INCORPORATED,57636Q104,27724,15769688,DFND,
MEDPACE HOLDINGS INC,58506Q109,261802,134608116,DFND,
META PLATFORMS INC,30303M102,311810,228987028,DFND,
MICROSOFT CORP,594918104,1703,882069,DFND,
NOVO-NORDISK A S,670100205,12400,688076,SOLE,
NVR INC,62944T105,14075,113087840,DFND,
OLD DOMINION FREIGHT LINE IN,679580100,5255,739799,SOLE,
PROGRESSIVE CORP,743315103,533889,131843889,DFND,
RESMED INC,761152107,235418,64440969,SOLE,
SCHWAB CHARLES CORP,808513105,1575776,150439335,DFND,
SITEONE LANDSCAPE SUPPLY INC,82982L103,3753,483386,SOLE,
SPDR GOLD TR,78463V107,3876,1377802,SOLE,
SPDR S&P 500 ETF,78462F103,2474,1648129,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,458603,128083232,DFND,
TWFG INC,87318A101,300317,8240698,DFND,
VISA INC,92826C839,405520,138436418,DFND,
YUM CHINA HLDGS INC,98850P109,36036,1546665,SOLE,
