Company,CUSIP,Shares,Value,Discretion
ALLIANCE RESOURCE PARTNERS L,01877R108,117000,2861820,SOLE
AMERICAN AXLE & MFG HLDGS IN,024061103,192130,1342987,SOLE
AT&T INC,00206R102,588000,11236680,SOLE
BOISE CASCADE CO DEL,09739D100,40000,4768800,SOLE
BREAD FINANCIAL HOLDINGS INC,018581108,254785,11353219,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,60000,2491800,SOLE
BUCKLE INC,118440106,150000,5541000,SOLE
BUILD-A-BEAR WORKSHOP INC,120076104,70000,1768900,SOLE
CHORD ENERGY CORPORATION,674215207,44970,7540570,SOLE
CONDUENT INC,206787103,747375,2436441,SOLE
CTO RLTY GROWTH INC NEW,22948Q101,443900,7750494,SOLE
FOSSIL GROUP INC,34988V106,1088625,1567620,SOLE
GANNETT CO INC,36472T109,1523110,7021536,SOLE
GRAY TELEVISION INC,389375106,772125,4015050,SOLE
JACKSON FINANCIAL INC,46817M107,145835,10829705,SOLE
LINCOLN NATL CORP IND,534187109,329775,10256001,SOLE
MICROSTRATEGY INC,594972AC5,2000000,6918000,SOLE
NABORS INDUSTRIES LTD,G6359F137,103620,7373599,SOLE
ONEMAIN HLDGS INC,68268W103,149000,7225010,SOLE
PITNEY BOWES INC,724479100,31434,159685,SOLE
QUAD / GRAPHICS INC,747301109,1447015,7886230,SOLE
STELLANTIS N.V,N82405106,420000,8337000,SOLE
TECHNIPFMC PLC,G87110105,8185,214036,SOLE
TEVA PHARMACEUTICAL INDS LTD,881624209,10950,177937,SOLE
TUTOR PERINI CORP,901109108,86860,1891810,SOLE
UGI CORP NEW,902681105,237000,5427300,SOLE
UNITED NAT FOODS INC,911163103,204570,2679864,SOLE
VIATRIS INC,92556V106,619000,6579970,SOLE
WESTERN ALLIANCE BANCORP,957638109,142105,8927035,SOLE
