Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,7067271,801499204,SOLE,
ALPHABET INC,02079K107,1500000,266085000,SOLE,
AMAZON COM INC,023135106,2700000,592353000,SOLE,
ASML HOLDING N V,N07059210,70000,56097300,SOLE,
BAIDU INC,056752108,625000,53600000,SOLE,
BLOCK INC,852234103,641800,43597474,SOLE,
CAESARS ENTERTAINMENT INC NE,12769G100,2100000,59619000,SOLE,
CORNING INC,219350105,1750000,92032500,SOLE,
DELTA AIR LINES INC DEL,247361702,550000,27049000,SOLE,
DEUTSCHE BANK A G,D18190898,4000000,117120000,SOLE,
ENERGY TRANSFER L P,29273V100,4957235,89874671,SOLE,
GOODYEAR TIRE & RUBR CO,382550101,861782,8936679,SOLE,
INTEL CORP,458140100,8000000,179200000,SOLE,
IQVIA HLDGS INC,46266C105,300000,47277000,SOLE,
ISHARES TR,464287184,1000000,36760000,SOLE,
JD.COM INC,47215P106,7000000,228480000,SOLE,
KE HLDGS INC,482497104,1500000,26610000,SOLE,
KRANESHARES TRUST,500767306,4000000,137320000,SOLE,
L3HARRIS TECHNOLOGIES INC,502431109,350000,87794000,SOLE,
LAM RESEARCH CORP,512807306,400000,38936000,SOLE,
LYFT INC,55087P104,8000000,126080000,SOLE,
META PLATFORMS INC,30303M102,400000,295236000,SOLE,
MICRON TECHNOLOGY INC,595112103,825000,101681250,SOLE,
MICROSOFT CORP,594918104,500000,248705000,SOLE,
MOHAWK INDS INC,608190104,65000,6814600,SOLE,
MPLX LP,55336V100,578500,29798535,SOLE,
NRG ENERGY INC,629377508,1980000,317948400,SOLE,
NVIDIA CORPORATION,67066G104,1750000,276482500,SOLE,
ORACLE CORP,68389X105,150000,32794500,SOLE,
PDD HOLDINGS INC,722304102,2000000,209320000,SOLE,
QUALCOMM INC,747525103,350000,55741000,SOLE,
RTX CORPORATION,75513E101,585000,85421700,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1025000,232152250,SOLE,
UBER TECHNOLOGIES INC,90353T100,2750000,256575000,SOLE,
UNITED AIRLS HLDGS INC,910047109,550000,43796500,SOLE,
UNITEDHEALTH GROUP INC,91324P102,2450000,764326500,SOLE,
VISTRA CORP,92840M102,1800000,348858000,SOLE,
WHIRLPOOL CORP,963320106,266092,26987051,SOLE,
