Company,CUSIP,Shares,Value,Discretion
BRC INC,05601U105,12851018,55002357,OTR
ENVESTNET INC,29404K106,119434,6916423,OTR
EVOLENT HEALTH INC,30050B101,3261458,106943208,OTR
NCR ATLEOS CORPORATION,63001N106,2509256,49557806,OTR
NCR VOYIX CORPORATION,62886E108,5836029,73709046,OTR
NEVRO CORP,64157F103,1885956,27233205,OTR
PORTILLOS INC,73642K106,1990000,28218200,OTR
PRA GROUP INC,69354N106,1853249,48332734,OTR
SHAKE SHACK INC,819047101,774788,80601196,OTR
UPBOUND GROUP INC,76009N100,1665708,58649579,OTR
V F CORP,918204108,5341368,81936585,OTR
