Company,CUSIP,Shares,Value,Discretion
CACTUS CL A ORD,127203107,499581,26347902,SOLE
CHARTER COMMUNICATIONS CL A ORD,16119P108,372769,111443020,SOLE
LAMAR ADVERTISING CL A REIT,512816109,901371,107740876,SOLE
PROGRESSIVE ORD,743315103,727431,151094693,SOLE
BATH AND BODY WORKS ORD,070830104,2421353,94553835,SOLE
SAVERS VALUE VILLAGE ORD,80517M109,2240000,27417600,SOLE
LIBERTY BROADBAND SRS C ORD,530307305,417935,22911197,SOLE
HEICO CL A ORD,422806208,4642,824048,SOLE
CARMAX ORD,143130102,705214,51720395,SOLE
DOMINOS PIZZA ORD,25754A201,167329,86396983,SOLE
CDW ORD,12514G108,404398,90520448,SOLE
