Company,CUSIP,Shares,Value,Discretion,PutCall
ASML HOLDING N V,N07059210,118917,236578,SOLE,
ALPHABET INC,02079K107,291544,103011,SOLE,
AMAZON.COM INC,023135106,432420,103063,SOLE,
CCC INTELLIGENT SOLUTION HOLDINGS INC,12510Q100,5413036,27931,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,153725,21861,SOLE,
DOORDASH INC,25809K105,300246,55404,SOLE,
LIVE NATION ENTERTAINMENT IN,538034109,198262,36304,SOLE,
MASTERCARD INC,57636Q104,175472,90122,SOLE,
META PLATFORMS INC,30303M102,117628,66259,SOLE,
MICROSOFT CORP,594918104,352504,131491,SOLE,
S&P GLOBAL INC,78409V104,116700,47527,SOLE,
TRANSDIGM GROUP INC,893641100,106544,141921,SOLE,
TRANSUNION COM,89400J107,817828,58998,SOLE,
