Company,CUSIP,Shares,Value,Discretion
Unilever PLC ADR,904767704,297868,16379761,SOLE
"A-Mark Precious Metals, Inc.",00181T107,25000,809250,SOLE
Alphabet Inc.,02079K107,3530455,647556056,SOLE
Altria Group Inc.,02209S103,4900,223195,SOLE
America's CAR MART Inc,03062T105,29000,1746090,SOLE
Amplify Energy Corp,03212B103,235000,1593300,SOLE
Aon PLC,G0403H108,11670,3426079,SOLE
Armstrong World Industries,04247X102,1100527,124623677,SOLE
BNY Mellon Corp.,064058100,3483191,208608309,SOLE
Berkshire Hathaway A,084670108,14,8571374,SOLE
Berkshire Hathaway B,084670702,686096,279103853,SOLE
Booking Hldgs Inc. Com,09857L108,38473,152410789,SOLE
Canadian Natural Resources Ltd,136385101,29456746,1048660158,SOLE
Cato Corp,149205106,105445,584165,SOLE
Charles Schwab Corp,808513105,5906642,435260449,SOLE
Cisco Systems Inc.,17275R102,1225258,58212008,SOLE
Clorox Company,189054109,31100,4244217,SOLE
Coca-Cola Co.,191216100,2577478,164056475,SOLE
Cognizant Technology Solutions,192446102,4907141,333685588,SOLE
Colgate-Palmolive,194162103,1186700,115157368,SOLE
Comcast Cl A,20030N101,1421000,55646360,SOLE
ConocoPhillips,20825C104,1814551,207548343,SOLE
Corning Inc.,219350105,1181000,45881850,SOLE
Darling Ingredients Inc.,237266101,1882834,69194149,SOLE
Devon Energy Corp,25179M103,3317879,157267465,SOLE
Diamondback Energy Inc,25278X109,1426054,285481750,SOLE
EOG Resources Inc,26875P101,1787728,225021323,SOLE
Ebay Inc.,278642103,2936343,157740346,SOLE
"Elevance Health, Inc.",036752103,371855,201493350,SOLE
Embecta Corp,29082K105,2815386,35192325,SOLE
Exxon Mobil Corp.,30231G102,162485,18705273,SOLE
First Hawaiian Inc.,32051X108,272894,5665279,SOLE
Fox Corp A,35137L105,2590597,89038819,SOLE
Fox Corp B,35137L204,8734220,279669735,SOLE
Goldman Sachs Grp,38141G104,157306,71152650,SOLE
Graftech International LTD,384313508,13759549,13346763,SOLE
Hershey Co.,427866108,21950,4035068,SOLE
Ingredion Inc,457187102,2163799,248187745,SOLE
Johnson & Johnson,478160104,1506840,220239713,SOLE
Kellanova,487836108,2141913,123545542,SOLE
Kenvue Inc,49177J102,8148773,148144693,SOLE
L3Harris Technologies,502431109,647983,145524022,SOLE
Legacy Housing Corporation,52472M101,130000,2982200,SOLE
Lockheed Martin Corp.,539830109,331288,154744625,SOLE
MSCI Inc.,55354G100,7110,3425242,SOLE
Masco Corporation,574599106,458348,30558061,SOLE
Mastercard Inc.,57636Q104,11130,4910111,SOLE
Micron Technology Inc,595112103,30000,3945900,SOLE
Microsoft Corp.,594918104,1532809,685088983,SOLE
Moody's Corp.,615369105,7670,3228533,SOLE
News Corp CL B,65249B208,515320,14629935,SOLE
News Corp Cl A,65249B109,14517502,400247530,SOLE
Northern Trust Corp.,665859104,9500,797810,SOLE
Northrop Grumman Corp,666807102,375290,163607675,SOLE
Olin Corp,680665205,4212143,198602542,SOLE
Oracle Corporation,68389X105,883535,124755142,SOLE
PEPSICO INC,713448108,2488359,410405050,SOLE
Philip Morris Intl,718172109,7301,739810,SOLE
Procter & Gamble,742718109,2446074,403406524,SOLE
"Reading International, Inc.",755408101,500000,710000,SOLE
"Reliance, Inc.",759509102,989685,282654036,SOLE
Spdr S&P 500 ETF,78462F103,5817,3165728,SOLE
State Street Corp,857477103,3223357,238528418,SOLE
Sysco Corporation,871829107,1471156,105025827,SOLE
Teledyne Technologies Inc Com,879360105,16500,6401670,SOLE
Tyson Foods Inc,902494103,3053492,174476533,SOLE
U-Haul Holding Company,023586100,468404,28914579,SOLE
U-Haul Holding Company Class B,023586506,7060924,423796658,SOLE
Verizon Commun.,92343V104,52000,2144480,SOLE
Walt Disney Company,254687106,1635509,162389719,SOLE
Warner Bros Discovery Inc,934423104,8152369,60653625,SOLE
Wells Fargo & Co,949746101,2505130,148779671,SOLE
