Company,CUSIP,Shares,Value,Discretion,PutCall
908 DEVICES INC,65443P102,929985,8090870,SOLE,
AAR CORP,000361105,62,8862,SOLE,
AAR CORP,000361105,80997,11576901,SOLE,
ABM INDS INC,000957100,113,4999,SOLE,
ABM INDS INC,000957100,399972,17694761,SOLE,
ACCENTURE PLC IRELAND,G1151C101,51,6346,SOLE,
ACCENTURE PLC IRELAND,G1151C101,118541,14751242,SOLE,
ADTRAN HOLDINGS INC,00486H105,1248507,17354247,SOLE,
ADVANCED ENERGY INDS,007973100,33,12305,SOLE,
ADVANCED ENERGY INDS,007973100,91502,34118351,SOLE,
AEBI SCHMIDT HLDG AG,H00501108,245300,3078515,SOLE,
AGNICO EAGLE MINES LTD,008474108,5192638,805995828,SOLE,
AIR PRODUCTS AND CHEMICALS I,009158106,10,2932,SOLE,
AIR PRODUCTS AND CHEMICALS I,009158106,35,10261,SOLE,
AIRGAIN INC,00938A104,344403,2169739,SOLE,
ALAMOS GOLD INC,011532108,6169791,186874865,SOLE,
ALBANY INTL CORP,012348108,272129,20273611,SOLE,
ALKAMI TECHNOLOGY INC,01644J108,425728,7714191,SOLE,
ALPHABET INC,02079K107,166110,58691692,SOLE,
ALPHABET INC,02079K107,7150142,2526359673,SOLE,
ALPHABET INC,02079K305,37,13223,SOLE,
ALPHABET INC,02079K305,518885,185433932,SOLE,
ALPHATEC HLDGS INC,02081G201,996637,8620910,SOLE,
ALTA EQUIPMENT GROUP INC,02128L106,520000,3364400,SOLE,
ALTISOURCE PORTFOLIO SOLUTIO,L0175J112,2834,1134,SOLE,
ALTISOURCE PORTFOLIO SOLUTIO,L0175J120,2834,794,SOLE,
ALTISOURCE PORTFOLIO SOLUTIO,L0175J138,435686,3267645,SOLE,
AMBEV SA,02319V103,15619070,49043880,SOLE,
AMBEV SA,02319V103,333704147,1047831022,SOLE,
AMBIQ MICRO INC,023193105,244394,21579990,SOLE,
AMERESCO INC,02361E108,156,4306,SOLE,
AMERESCO INC,02361E108,748925,20670330,SOLE,
AMERICAN EXPRESS CO,025816109,42433,14353125,SOLE,
AMERICAN EXPRESS CO,025816109,1637714,553956761,SOLE,
AMERICAN WTR WKS CO INC NEW,030420103,602,79211,SOLE,
AMERIS BANCORP,03076K108,71,6408,SOLE,
AMERIS BANCORP,03076K108,328858,29682723,SOLE,
AMN HEALTHCARE SVCS INC,001744101,196212,6351382,SOLE,
AMTECH SYS INC,032332504,370,8540,SOLE,
AMTECH SYS INC,032332504,848056,19573132,SOLE,
ANGIODYNAMICS INC,03475V101,276435,3596419,SOLE,
ANGLOGOLD ASHANTI PLC,G0378L100,1490679,120581024,SOLE,
APPLIED AEROSPACE & DEFENSE,03815J107,125000,2847500,SOLE,
ARAMARK,03852U106,15000,853500,SOLE,
ARCOSA INC,039653100,38,5521,SOLE,
ARCOSA INC,039653100,127802,18568353,SOLE,
ARLO TECHNOLOGIES INC,04206A101,752200,10139656,SOLE,
ARTIVION INC,228903100,131,2944,SOLE,
ARTIVION INC,228903100,346442,7784552,SOLE,
ASTEC INDS INC,046224101,271600,16619204,SOLE,
ASTRONICS CORP,046433108,192726,15660915,SOLE,
ATRICURE INC,04963C209,297643,8328051,SOLE,
