Company,CUSIP,Shares,Value,Discretion,PutCall
Amazon Com Inc,023135106,136765,26021,DFND,
American Airl,02376R102,133728,1411,DFND,
Antero Resources Corp,03674X106,258400,10450,DFND,
Applovin Corp,03831W108,40200,10652,DFND,
Ascendis Pharma A/S,04351P101,158720,24738,DFND,
Banco Macro Sa,05961W105,431815,32606,DFND,
Barclays Plc,06738E204,3817305,58634,DFND,
Bridgebio Pharma Inc,10806X102,438050,15143,DFND,
Brookfield Corp,11271J107,315925,16551,DFND,
Caesars Entertainment Inc Ne,12769G100,1548420,38711,DFND,
Capital One Finl Corp,14040H105,197670,35442,DFND,
Ccc Intelligent Solutions Hl,12510Q100,5595039,50523,DFND,
Coherent Corp,19247G107,2222070,144301,DFND,
Coupang Inc,22266T109,9302634,204007,DFND,
Daktronics Inc,234264109,3067625,37364,DFND,
Delta Air Lines Inc Del,247361702,345135,15048,DFND,
Delta Air Lines Inc Del,247361702,949500,41398,DFND,Call
Docusign Inc,256163106,1074655,87477,DFND,
Eli Lilly & Co,532457108,94830,78321,DFND,
Eqt Corp,26884L109,859345,45915,DFND,
Expand Energy Corporation,165167735,97700,10876,DFND,
Flex Ltd,Y2573F102,348900,11542,DFND,
Flutter Entmt Plc,G3643J108,377475,83566,DFND,
Freeport-Mcmoran Inc,35671D857,1018105,38545,DFND,
Global X Fds,37950E259,443800,35846,DFND,
Grupo Financiero Galicia S.A,399909100,381481,20779,DFND,
Impinj Inc,453204109,108475,9839,DFND,
Insmed Inc,457669307,1369050,104445,DFND,
Invivyd Inc,00534A102,571425,346,DFND,
Joby Aviation Inc,G65163100,31489,190,DFND,
Kinder Morgan Inc Del,49456B101,1654115,47192,DFND,
Mercadolibre Inc,58733R102,53725,104810,DFND,
Natera Inc,632307104,3402330,481123,DFND,
Newamsterdam Pharma Company,N62509109,800360,16383,DFND,
Philip Morris Intl Inc,718172109,1105268,175439,DFND,
Purecycle Technologies Inc,74623V103,3364842,23285,DFND,
Roku Inc,77543R102,493600,34769,DFND,
Seagate Technology Hldngs Pl,G7997R103,219477,18645,DFND,
Seagate Technology Hldngs Pl,G7997R103,246500,20940,DFND,Call
Springworks Therapeutics Inc,85205L107,615929,27181,DFND,
Taiwan Semiconductor Mfg Ltd,874039100,598780,99397,DFND,
Teck Resources Ltd,878742204,431545,15721,DFND,
Tesla Inc,88160R101,18838,4882,DFND,
Teva Pharmaceutical Inds Ltd,881624209,14879750,228702,DFND,
Twilio Inc,90138F102,362155,35459,DFND,
Ultragenyx Pharmaceutical In,90400D108,85445,3094,DFND,
United Airls Hldgs Inc,910047109,368685,25458,DFND,
United Airls Hldgs Inc,910047109,226000,15605,DFND,Call
Verona Pharma Plc,925050106,1002080,63622,DFND,
Wabtec,929740108,301095,54604,DFND,
Woodward Inc,980745103,1097750,200328,DFND,
Ypf Sociedad Anonima,984245100,2075390,72722,DFND,
