Company,CUSIP,Shares,Value,Discretion
ADT INC,00090Q103,6380196,46128817,SOLE
AES CORP,00130H105,900,18054,SOLE
ALPHABET INC,02079K305,650000,107802500,SOLE
APOLLO GLOBAL MANAGEMENT INC,03769M106,1387000,173250170,SOLE
ARBOR REALTY TRUST INC,038923108,2461194,38296179,SOLE
ASHLAND INC,044186104,1090000,94797300,SOLE
BARINGS BDC INC,06759L103,2643,25901,SOLE
COMMSCOPE HOLDING CO INC,20337X109,71210,435093,SOLE
CRESCENT CAPITAL BDC INC,225655109,89917,1663465,SOLE
DIAMEDICA THERAPEUTICS INC,25253X207,1511739,6334186,SOLE
DT MIDSTREAM INC,23345M107,440000,34610400,SOLE
ELEVANCE HEALTH INC,036752103,171000,88920000,SOLE
ELLINGTON FINANCIAL INC,28852N109,150000,1933500,SOLE
ENERGY TRANSFER LP,29273V100,12660000,203193000,SOLE
ENTERPRISE PRODUCTS PARTNERS,293792107,1191535,34685584,SOLE
FIDELIS INSURANCE HOLDINGS L,G3398L118,3502066,63247312,SOLE
FINANCE OF AMERICA COS INC,31738L206,1050015,12148674,SOLE
FISERV INC,337738108,480000,86232000,SOLE
FRANKLIN TEMPLETON ETF TR,35473P827,5750,216467,SOLE
GANNETT CO INC,36472T109,4683331,26320320,SOLE
LITHIA MOTORS INC,536797103,416085,132165239,SOLE
MADISON SQUARE GARDEN SPORTS,55825T103,20000,4165200,SOLE
MANCHESTER UNITED PLC,G5784H106,2522312,40811008,SOLE
MICROSOFT CORP,594918104,105705,45484862,SOLE
MIRION TECHNOLOGIES INC,60471A101,8025000,88836750,SOLE
MOTOROLA SOLUTIONS INC,620076307,100000,44963000,SOLE
MP MATERIALS CORP,553368101,3465000,61157250,SOLE
MR COOPER GROUP INC,62482R107,2860600,263690108,SOLE
BLUE OWL CAPITAL CORP,69121K104,12000,174840,SOLE
ONEMAIN HOLDINGS INC,68268W103,309315,14559457,SOLE
REGAL REXNORD CORP,758750103,700000,116116000,SOLE
SEA LTD,81141R100,326058,30740748,SOLE
SUNOPTA INC,8676EP108,5486961,35006811,SOLE
THE CIGNA GROUP,125523100,240655,83372518,SOLE
VANGUARD INTL EQUITY INDEX F,922042874,24693,1755672,SOLE
VANGUARD SCOTTSDALE FDS,92206C706,18412,1112453,SOLE
VANGUARD INDEX FDS,922908363,43593,23002718,SOLE
VANGUARD MUN BD FDS,922907746,12876,658221,SOLE
VERTIV HOLDINGS CO,92537N108,2100000,208929000,SOLE
WILLSCOT HOLDINGS CORP,971378104,3649500,137221200,SOLE
