Company,CUSIP,Shares,Value,Discretion,PutCall
"Agilent Technologies, Inc. (A)",00846U101,10700,1219586,SOLE,
Arrow Electronics Inc (ARW),042735100,1895860,271885283,SOLE,
Avnet Inc (AVT),053807103,3920512,241581949,SOLE,
Avantor Inc (AVTR),05352A100,22593838,177135690,SOLE,
Baxter International Inc (BAX),071813109,14307688,240369158,SOLE,
CRH PLC  (CRH),G25508105,17500,1839600,SOLE,
"D R Horton, Inc. (DHI)",23331A109,3466920,475730762,SOLE,
DNOW INC (DNOW),67011P100,824487,9819640,SOLE,
Genpact LTD (G),G3922B107,10000,372500,SOLE,
General Motors Co (GM),35045V100,12526135,933197058,SOLE,
Icon PLC (ICLR),G4705A100,2002411,221586801,SOLE,
J P Morgan Chase (JPM),46625H100,4000,1176640,SOLE,
Lear Corporation (LEA),521865204,1697369,205517439,SOLE,
Lennar Corporation - A (LEN),526057104,10632131,923294256,SOLE,
Lennar Corporation - B SHS (LEN/B),526057302,364059,30624643,SOLE,
Meritage Homes Corp (MTH),59001A102,1454849,89967862,SOLE,
NOV INC (NOV),62955J103,5751338,108182668,SOLE,
Oshkosh Corp (OSK),688239201,2531005,372589246,SOLE,
PulteGroup Inc. (PHM),745867101,5497109,646514989,SOLE,
Charles Schwab Corporation (SCHW),808513105,12500,1174750,SOLE,
SLB LTD (SLB),806857108,4664577,239712612,SOLE,
Stellantis NV (STLA),N82405106,37000,262330,SOLE,
Terex Corp (TEX),880779103,10922,645490,SOLE,
Taylor Morrison Home Corp (TMHC),87724P106,270608,15760210,SOLE,
"Toll Brothers, Inc. (TOL)",889478103,5645309,770415319,SOLE,
Union Pacific Corp (UNP),907818108,2032,493004,SOLE,
Vanguard  0-3M T-Bill ETF (VBIL),922040845,1196425,90509551,SOLE,
