Company,CUSIP,Shares,Value,Discretion
Alphabet Inc.,02079K107,1129807,354533437,SOLE
"Altria Group, Inc.",02209S103,4200,242172,SOLE
"America's Car-Mart, Inc.",03062T105,155000,3915300,SOLE
Amplify Energy Corp.,03212B103,230000,1051100,SOLE
Aon plc,G0403H108,12915,4557445,SOLE
"Armstrong World Industries, Inc.",04247X102,741742,141746896,SOLE
Berkshire Hathaway Inc.,084670702,313033,157346037,SOLE
Canadian Natural Resources Limited,136385101,18775420,635547967,SOLE
"Cisco Systems, Inc.",17275R102,340638,26239345,SOLE
Cognizant Technology Solutions Corporation,192446102,2983431,247624773,SOLE
Colgate-Palmolive Company,194162103,787300,62212446,SOLE
Comcast Corporation,20030N101,1161500,34717235,SOLE
ConocoPhillips,20825C104,1549903,145086420,SOLE
"Copart, Inc.",217204106,100170,3921656,SOLE
Darling Ingredients Inc.,237266101,1389217,50011812,SOLE
Devon Energy Corporation,25179M103,432311,15835552,SOLE
"Diamondback Energy, Inc.",25278X109,996619,149821734,SOLE
eBay Inc.,278642103,1532330,133465943,SOLE
"Elevance Health, Inc.",036752103,328756,115245416,SOLE
Embecta Corp.,29082K105,2262915,26883430,SOLE
"EOG Resources, Inc.",26875P101,1187019,124648865,SOLE
Fair Isaac & Co.,303250104,2744,4639061,SOLE
Fox Corporation,35137L204,5569791,361646530,SOLE
Fox Corporation,35137L105,1202063,87834743,SOLE
Gold.com Inc,00181T107,7000,238350,SOLE
GrafTech International Ltd.,384313607,998475,15486347,SOLE
Ingredion Incorporated,457187102,1423654,156972090,SOLE
"iShares, Inc. - iShares MSCI South Korea ETF",464286772,1144611,111279081,SOLE
Johnson & Johnson,478160104,1252646,259235060,SOLE
Kenvue Inc.,49177J102,7857496,135541806,SOLE
"L3Harris Technologies, Inc.",502431109,408227,119843200,SOLE
Legacy Housing Corporation,52472M101,175675,3429176,SOLE
Lockheed Martin Corporation,539830109,214473,103734156,SOLE
Marsh & McLennan Cos,571748102,19280,3576826,SOLE
Masco Corporation,574599106,233847,14839931,SOLE
Mastercard Incorporated,57636Q104,11670,6662170,SOLE
Microsoft Corporation,594918104,963825,466125047,SOLE
Moody's Corporation,615369105,12425,6347311,SOLE
MSCI Inc.,55354G100,10900,6253657,SOLE
News Corporation,65249B109,7329228,191439435,SOLE
News Corporation,65249B208,8140,241188,SOLE
Northern Trust Corporation,665859104,9500,1297605,SOLE
Northrop Grumman Corporation,666807102,193937,110584817,SOLE
Olin Corporation,680665205,3922318,81701884,SOLE
"PepsiCo, Inc.",713448108,2028631,291149121,SOLE
Philip Morris International Inc.,718172109,6300,1010520,SOLE
"Reading International, Inc.",755408101,265000,278250,SOLE
"Reliance, Inc.",759509102,691626,199790003,SOLE
SPDR Bloomberg 1-3 Month T-Bill ETF,78468R663,167893,15342062,SOLE
SPDR S&P 500 ETF,78462F103,32091,21883495,SOLE
State Street Corporation,857477103,913555,117857731,SOLE
Sysco Corporation,871829107,1223605,90167452,SOLE
Talen Energy Corporation,87422Q109,360000,134942400,SOLE
Teledyne Technologies Incorporated,879360105,2100,1072533,SOLE
The Bank of New York Mellon Corporation,064058100,365736,42458292,SOLE
The Cato Corporation,149205106,105445,325825,SOLE
The Charles Schwab Corporation,808513105,3936540,393299711,SOLE
The Clorox Company,189054109,48095,4849419,SOLE
The Coca-Cola Company,191216100,2108644,147415302,SOLE
"The Goldman Sachs Group, Inc.",38141G104,4985,4381815,SOLE
The Procter & Gamble Company,742718109,1918353,274919168,SOLE
The Walt Disney Company,254687106,1333916,151759623,SOLE
"Tyson Foods, Inc.",902494103,2489380,145927456,SOLE
U-Haul Holding Company,023586506,5787394,270502796,SOLE
U-Haul Holding Company,023586100,327276,16497983,SOLE
Unilever PLC ADR,904767803,195803,12805545,SOLE
UnitedHealth Group Incorporated,91324P102,167550,55309931,SOLE
Verisk Analytics Inc.,92345Y106,15460,3458247,SOLE
Verizon Communications Inc.,92343V104,40000,1629200,SOLE
Visa Inc. Class A,92826C839,732,256720,SOLE
"Warner Bros. Discovery, Inc.",934423104,1782860,51382025,SOLE
Wells Fargo & Company,949746101,102319,9536131,SOLE
