Company,CUSIP,Shares,Value,Discretion
ABBVIE INC,00287Y109,145247,24913000,SOLE
ACCENTURE PLC IRELAND,G1151C101,805,244000,SOLE
AFLAC INC,001055102,6201,554000,SOLE
ALPHABET INC,02079K305,2665,485000,SOLE
ALPHABET INC,02079K107,163077,29912000,SOLE
AMAZON COM INC,023135106,122313,23637000,SOLE
AMERICAN ELEC PWR CO INC,025537101,230494,20224000,SOLE
AMERICAN EXPRESS CO,025816109,3212,744000,SOLE
AMGEN INC,031162100,45068,14081000,SOLE
AMPHENOL CORP NEW,032095101,3056,206000,SOLE
AON PLC,G0403H108,691,203000,SOLE
APPLE INC,037833100,138429,29156000,SOLE
BANK AMERICA CORP,060505104,6301,251000,SOLE
BANK NEW YORK MELLON CORP,064058100,519734,31127000,SOLE
BECTON DICKINSON & CO,075887109,25650,5995000,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,2774,1128000,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,5604,233000,SOLE
CAPITAL ONE FINL CORP,14040H105,2414,334000,SOLE
CISCO SYS INC,17275R102,573853,27264000,SOLE
COLGATE PALMOLIVE CO,194162103,2600,252000,SOLE
COMCAST CORP NEW,20030N101,724616,28376000,SOLE
COMPUGEN LTD,M25722105,90833,153000,SOLE
COSTCO WHSL CORP NEW,22160K105,544,462000,SOLE
CVS HEALTH CORP,126650100,18561,1096000,SOLE
DANAHER CORPORATION,235851102,1703,425000,SOLE
DOCGO INC,256086109,100000,309000,SOLE
DUKE ENERGY CORP NEW,26441C204,64933,6508000,SOLE
EATON CORP PLC,G29183103,842,264000,SOLE
ELI LILLY & CO,532457108,297,269000,SOLE
EXXON MOBIL CORP,30231G102,4340,500000,SOLE
FEDEX CORP,31428X106,49831,14941000,SOLE
FISERV INC,337738108,37108,5531000,SOLE
GENERAL DYNAMICS CORP,369550108,25360,7358000,SOLE
GILEAD SCIENCES INC,375558103,183277,12575000,SOLE
GOLDMAN SACHS GROUP INC,38141G104,40161,18166000,SOLE
HOME DEPOT INC,437076102,46000,15835000,SOLE
INTUIT,461202103,450,296000,SOLE
INVESCO QQQ TR,46090E103,1108,531000,SOLE
ISHARES INC,46434G103,4772,255000,SOLE
ISHARES TR,46435G516,3176,250000,SOLE
ISHARES TR,464287598,5786,1010000,SOLE
ISHARES TR,464287622,721,215000,SOLE
ISHARES TR,464287804,29316,3127000,SOLE
ISHARES TR,464287465,15277,1197000,SOLE
ISHARES TR,464287200,2126,1163000,SOLE
ISHARES TR,464287614,17322,6314000,SOLE
ISHARES TR,464287499,45042,3652000,SOLE
ISHARES TR,464287655,10587,2148000,SOLE
JOHNSON & JOHNSON,478160104,3345,489000,SOLE
JPMORGAN CHASE & CO.,46625H100,181058,36621000,SOLE
