Company,CUSIP,Shares,Value,Discretion
ADT INC,00090Q103,4300000,29713000,SOLE
AES CORP,00130H105,900,11583,SOLE
ALPHABET INC,02079K305,650000,123045000,SOLE
APOLLO GLOBAL MANAGEMENT INC,03769M106,1387000,229076920,SOLE
ARBOR REALTY TRUST INC,038923108,2421194,33533537,SOLE
ASHLAND INC,044186104,1453465,103864609,SOLE
BARINGS BDC INC,06759L103,2643,25294,SOLE
CRESCENT CAPITAL BDC INC,225655109,89917,1728205,SOLE
DIAMEDICA THERAPEUTICS INC,25253X207,1625000,8823750,SOLE
ELEVANCE HEALTH INC,036752103,278400,102701760,SOLE
ELLINGTON FINANCIAL INC,28852N109,150000,1818000,SOLE
ENERGY TRANSFER LP,29273V100,12660000,248009400,SOLE
ENTERPRISE PRODUCTS PARTNERS,293792107,1191535,37366538,SOLE
FIDELIS INSURANCE HOLDINGS L,G3398L118,3763759,68236951,SOLE
FINANCE OF AMERICA COS INC,31738L206,1081495,30411639,SOLE
FISERV INC,337738108,380000,78059600,SOLE
FRANKLIN TEMPLETON ETF TR,35473P827,5750,210450,SOLE
GANNETT CO INC,36472T109,4807333,24325105,SOLE
ISHARES TR,46434V738,38388,2072184,SOLE
ISHARES INC,464286509,12531,504999,SOLE
ISHARES TR,464287465,57453,4344021,SOLE
ISHARES INC,46434G822,14305,959866,SOLE
ISHARES INC,464286665,7610,333394,SOLE
KBR INC,48242W106,1461402,84659018,SOLE
LAS VEGAS SANDS CORP,517834107,1500000,77040000,SOLE
LITHIA MOTORS INC,536797103,317602,113520483,SOLE
MADISON SQUARE GARDEN SPORTS,55825T103,20000,4513600,SOLE
MANCHESTER UNITED PLC,G5784H106,2601705,45139582,SOLE
MICROSOFT CORP,594918104,105705,44554658,SOLE
MIRION TECHNOLOGIES INC,60471A101,7025000,122586250,SOLE
MOTOROLA SOLUTIONS INC,620076307,100000,46223000,SOLE
MP MATERIALS CORP,553368101,3600000,56160000,SOLE
MR COOPER GROUP INC,62482R107,2860600,274646206,SOLE
BLUE OWL CAPITAL CORP,69121K104,12000,181440,SOLE
ONEMAIN HOLDINGS INC,68268W103,309000,16108170,SOLE
REGAL REXNORD CORP,758750103,535401,83056757,SOLE
SEA LTD,81141R100,326058,34594754,SOLE
SUNOPTA INC,8676EP108,5589341,43037926,SOLE
THE CIGNA GROUP,125523100,240655,66454472,SOLE
VANGUARD INTL EQUITY INDEX F,922042874,24693,1567265,SOLE
VANGUARD SCOTTSDALE FDS,92206C706,25028,1451624,SOLE
VANGUARD INDEX FDS,922908363,43593,23488344,SOLE
VANGUARD MUN BD FDS,922907746,12876,645474,SOLE
VERTIV HOLDINGS CO,92537N108,2100000,238581000,SOLE
WILLSCOT HOLDINGS CORP,971378104,4031016,134837485,SOLE
