Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,2957652,450332,SOLE,
ALTICE USA INC,02156K103,4774615,12462,SOLE,
CLARIVATE PLC,G21810109,30598402,227346,SOLE,
CRH PLC,G25508105,2709543,233725,SOLE,
EAGLE MATLS INC,26969P108,262000,71199,SOLE,
FIDELITY NATL INFORMATION SV,31620M106,5578969,413848,SOLE,
FORTREA HLDGS INC,34965K107,303797,12194,SOLE,
GDS HLDGS LTD,36165L108,2600000,17290,SOLE,
HERBALIFE LTD,G4412G101,2244923,22561,SOLE,
JACOBS SOLUTIONS INC,46982L108,506786,77908,SOLE,
JAZZ PHARMACEUTICALS PLC,G50871105,833696,100394,SOLE,
LIBERTY GLOBAL LTD,G61188101,7194276,121727,SOLE,
LIBERTY GLOBAL LTD,G61188127,42311011,746366,SOLE,
LIBERTY MEDIA CORP DEL,531229813,2677656,79526,SOLE,
LIBERTY MEDIA CORP DEL,531229789,4351048,129270,SOLE,
OUTBRAIN INC,69002RAB9,118000000,102550,SOLE,
SOUNDHOUND AI INC,836100107,1130636,5554,SOLE,
THERAVANCE BIOPHARMA INC,G8807B106,6594126,59149,SOLE,
VIASAT INC,92552V100,15030838,271908,SOLE,
WARNER BROS DISCOVERY INC,934423104,3713930,32423,SOLE,
WESCO INTL INC,95082P105,205724,35236,SOLE,
WILLIS TOWERS WATSON PLC LTD,G96629103,1555667,427808,SOLE,
