Company,CUSIP,Shares,Value,Discretion
Adma Biologics Inc,000899104,252200,4600,DFND
Aeva Technologies Inc,00835Q202,1824862,24234,DFND
Alcoa Corp,013872106,1376050,73123,DFND
Almonty Inds Inc,020398707,469880,4140,DFND
Alphabet Inc,02079K305,385000,120505,DFND
Amazon Com Inc,023135106,737940,170331,DFND
Amazon Com Inc,023135106,100000,23082,DFND
American Airls Group Inc,02376R102,639785,9808,DFND
Argan Inc,04010E109,30000,9400,DFND
Bbb Foods Inc,G0896C103,2675152,89323,DFND
Bloom Energy Corp,093712107,740545,64346,DFND
Chipotle Mexican Grill Inc,169656105,391930,14501,DFND
Cidara Therapeutics Inc,171757206,49495,10933,DFND
Cleveland-Cliffs Inc New,185899101,1745655,23182,DFND
Cogent Biosciences Inc,19240Q201,2214470,78658,DFND
Coupang Inc,22266T109,6772909,159773,DFND
Crh Plc,G25508105,474955,59274,DFND
Daktronics Inc,234264109,852960,16863,DFND
Delta Air Lines Inc Del,247361702,650910,45173,DFND
Docusign Inc,256163106,1019085,69705,DFND
Doordash Inc,25809K105,35900,8131,DFND
Echostar Corp,278768106,60765,6605,DFND
Entegris Inc,29362U104,844160,71120,DFND
Figure Technology Solutio,349381103,1539785,62885,DFND
Flutter Entmt Plc,G3643J108,115245,24782,DFND
Goldman Sachs Group Inc,38141G104,27500,24173,DFND
Insmed Inc,457669307,1481752,257884,DFND
Invesco Exchange Traded Fd T,46137V357,1173925,224877,DFND
Ishares Inc,464286400,3552575,112865,DFND
Ishares Inc,464286400,4228000,134324,DFND
Ishares Tr,464287234,902500,49376,DFND
Ishares Tr,464287655,226000,55632,DFND
Lattice Semiconductor Corp,518415104,925970,68133,DFND
Mercadolibre Inc,58733R102,47149,94970,DFND
Natera Inc,632307104,2511357,575327,DFND
Neptune Ins Hldgs Inc,64073B103,20000,583,DFND
Newamsterdam Pharma Company,N62509109,3070146,107701,DFND
On Semiconductor Corp,682189105,536260,29038,DFND
Option Care Health Inc,68404L201,1745950,55626,DFND
Philip Morris Intl Inc,718172109,67400,10811,DFND
Progyny Inc,74340E103,295115,7579,DFND
Protagonist Therapeutics Inc,74366E102,159700,13948,DFND
Purecycle Technologies Inc,74623V103,2878434,24726,DFND
Restaurant Brands Intl Inc,76131D103,1209000,82490,DFND
Rh,74967X103,88200,15801,DFND
Roku Inc,77543R102,582980,63248,DFND
Sea Ltd,81141R100,944120,120441,DFND
Select Sector Spdr Tr,81369Y605,5495600,300994,DFND
Southern Copper Corp,84265V105,120817,17334,DFND
Spdr S&P 500 Etf Tr,78462F103,90000,61373,DFND
Stmicroelectronics N V,861012102,773555,20066,DFND
Stubhub Hldgs Inc,86384P109,2305751,31197,DFND
Taiwan Semiconductor Mfg Ltd,874039100,543085,165038,DFND
Teva Pharmaceutical Inds Ltd,881624209,5874870,183355,DFND
United Airls Hldgs Inc,910047109,348400,38958,DFND
Unity Software Inc,91332U101,410020,18111,DFND
Wabtec,929740108,300110,64058,DFND
Wave Life Sciences Ltd,Y95308105,173000,2941,DFND
Wolfspeed Inc,97785W106,186900,3254,DFND
Woodward Inc,980745103,590930,178650,DFND
Ypf Sociedad Anonima,984245100,606990,21949,DFND
Zillow Group Inc,98954M200,192640,13142,DFND
