Company,CUSIP,Shares,Value,Discretion
MAGNACHIP SEMICONDUCTOR CORP,55933J203,2849858,15902207,DFND
MARRIOTT VACATIONS WORLDWIDE CORP,57164YAF4,8520000,8034360,DFND
MESA LABORATORIES INC,59064RAA7,4760000,4498184,DFND
MITEK SYSTEMS INC,606710AA9,326000,328071,DFND
NEOGENOMICS INC,64049MAB6,2948000,2351030,DFND
NEW MOUNTAIN FINANCE CORP,647551AE0,7353000,7485354,DFND
NICE LTD,653656AB4,5981000,6265097,DFND
NIO INC,62914VAF3,1361000,1245315,DFND
NMI HOLDINGS INC,629209305,1057790,34208928,DFND
NORTHERN OIL & GAS INC,665531AJ8,1400000,1709750,DFND
NORWEGIAN CRUISE LINE HOLDINGS LTD,62886HBD2,4984000,4725330,DFND
NRG ENERGY INC,629377CG5,3408000,5647056,DFND
NUTANIX INC,67059NAH1,5251000,6458730,DFND
NUVASIVE INC,670704AJ4,8029000,7665687,DFND
OAKTREE SPECIALTY LENDING CORP,67401P405,1852456,36419284,DFND
OCWEN FINANCIAL CORP,675746606,451029,12182293,DFND
ON SEMICONDUCTOR CORP,682189AU9,7262000,7182117,DFND
PAMPA ENERGIA SA,697660207,203767,8790508,DFND
PDD HOLDINGS INC,722304AC6,2500000,2415750,DFND
PEBBLEBROOK HOTEL TRUST,70509VAA8,9996000,9015392,DFND
PENNYMAC MORTGAGE INVESTMENT TRUST,70932AAD5,2100000,2076375,DFND
PENNYMAC MORTGAGE INVESTMENT TRUST,70932AAF0,4949000,4720356,DFND
PERFICIENT INC,71375UAF8,12741000,11044176,DFND
PETROLEO BRASILEIRO SA,71654V408,5099509,77563531,DFND
POST HOLDINGS INC,737446AT1,2894000,3261538,DFND
PROGRESS SOFTWARE CORP,743312AB6,1489000,1548559,DFND
Q2 HOLDINGS INC,74736LAF6,1989000,1853549,DFND
REDFIN CORP,75737FAE8,2557000,1431920,DFND
REDWOOD TRUST INC,749772AD1,11022000,10691868,DFND
RUNWAY GROWTH FINANCE CORP,78163D100,15492167,187765075,DFND
SAREPTA THERAPEUTICS INC,803607AD2,2000000,2341200,DFND
SEA LTD,81141RAF7,1700000,1708499,DFND
SEA LTD,81141RAG5,15241000,13099639,DFND
SEMTECH CORP,816850AF8,3515000,3473171,DFND
SHAKE SHACK INC,819047AB7,6222000,5665909,DFND
SHIFT4 PAYMENTS INC,82452JAB5,2950000,3171250,DFND
SHIFT4 PAYMENTS INC,82452JAD1,3282000,3060464,DFND
SITIO ROYALTIES CORP,82983N108,12935120,319756166,DFND
SMARTRENT INC,83193G107,7505294,20114190,DFND
SNAP INC,83304AAH9,13095000,10011127,DFND
SOLAREDGE TECHNOLOGIES INC,83417MAD6,13388000,12267424,DFND
SPOTIFY TECHNOLOGY SA,84921RAB6,7834000,7211197,DFND
SSR MINING INC,784730AB9,3719000,3333153,DFND
STAR BULK CARRIERS CORP,Y8162K204,6107983,145797554,DFND
STAR HOLDINGS,85512G106,1000000,12920000,DFND
STATE STREET CORP,78462F103,228000,119259960,DFND
SUMMIT HOTEL PROPERTIES INC,866082AA8,7796000,6981318,DFND
