Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K107,465268,85339457,SOLE
AUTOZONE INC,053332102,30351,89963399,SOLE
DANAHER CORPORATION,235851102,306420,76559037,SOLE
HERC HLDGS INC,42704L104,439118,58530038,SOLE
META PLATFORMS INC,30303M102,239724,120873635,SOLE
PAYPAL HLDGS INC,70450Y103,1197048,69464695,SOLE
SEMRUSH HLDGS INC,81686C104,3558820,47652600,SOLE
SMARTSHEET INC,83200N103,2480389,109335547,SOLE
SPROUT SOCIAL INC,85209W109,1725977,61582859,SOLE
UPWORK INC,91688F104,2725293,29296900,SOLE
WIX COM LTD,M98068105,570859,90806541,SOLE
