Company,CUSIP,Shares,Value,Discretion
AMERICAN AIRLS GROUP INC,02376R102,11654522,500678,SOLE
AMERICAN INTL GROUP INC,026874784,1209231,66000,SOLE
APPLE INC,037833100,1686146,156694,SOLE
ASML HOLDING N V,N07059210,525275,48992,SOLE
AXIALL CORP,05463D100,1418309,67043,SOLE
BAIDU INC,056752108,205692,38425,SOLE
BERRY PLASTICS GROUP INC,08579W103,663937,17130,SOLE
BROADCOM CORP,111320107,1693336,62857,SOLE
CBS CORP NEW,124857202,2163678,134451,SOLE
CELANESE CORP DEL,150870103,782768,50316,SOLE
CHICAGO BRIDGE & IRON CO N V,167250109,1493864,101882,SOLE
CITIGROUP INC,172967424,8617139,405867,SOLE
COMCAST CORP NEW,20030N101,902888,48467,SOLE
DELTA AIR LINES INC DEL,247361702,6411483,248253,SOLE
DISNEY WALT CO,254687106,1376500,118021,SOLE
DU PONT E I DE NEMOURS & CO,263534109,580600,37994,SOLE
EASTMAN CHEM CO,277432100,616398,53842,SOLE
EXPEDIA INC DEL,30212P303,897137,70659,SOLE
FACEBOOK INC,30303M102,3585329,241257,SOLE
FORD MTR CO DEL,345370860,7286816,125625,SOLE
GENERAL MTRS CO,37045V100,12982349,471259,SOLE
GENERAL MTRS CO,37045V118,184879,4920,SOLE
GENERAL MTRS CO,37045V126,184879,3431,SOLE
GOODYEAR TIRE & RUBR CO,382550101,11281096,313389,SOLE
GOOGLE INC,38259P508,442259,258576,SOLE
GOOGLE INC,38259P706,637067,366492,SOLE
HALLIBURTON CO,406216101,5024621,356798,SOLE
HARTFORD FINL SVCS GROUP INC,416515120,1050475,28699,SOLE
HCA HOLDINGS INC,40412C101,5326882,300330,SOLE
HD SUPPLY HLDGS INC,40416M105,1286830,36533,SOLE
HUNTSMAN CORP,447011107,7315375,205562,SOLE
INGREDION INC,457187102,501379,37623,SOLE
KBR INC,48242W106,2539500,60567,SOLE
MASCO CORP,574599106,6181624,137232,SOLE
MGM RESORTS INTERNATIONAL,552953101,3598758,95007,SOLE
MOHAWK INDS INC,608190104,568129,78595,SOLE
MUELLER WTR PRODS INC,624758108,2116510,18287,SOLE
OWENS CORNING NEW,690742101,3285130,127069,SOLE
PLY GEM HLDGS INC,72941W100,422988,4272,SOLE
POWERSHARES QQQ TRUST,73935A104,3200000,300512,SOLE
PRICELINE COM INC,741503403,314924,378854,SOLE
PRUDENTIAL FINL INC,744320102,738060,65518,SOLE
RYLAND GROUP INC,783764103,1083471,42732,SOLE
SCHLUMBERGER LTD,806857108,598400,70581,SOLE
SPDR S&P 500 ETF TR,78462F103,1332966,260888,SOLE
TEREX CORP NEW,880779103,1266163,52039,SOLE
TRIUMPH GROUP INC NEW,896818101,930876,64994,SOLE
UNITED CONTL HLDGS INC,910047109,5163130,212050,SOLE
Weatherford International Ltd,H27013103,2667195,61345,SOLE
WHIRLPOOL CORP,963320106,1011750,140856,SOLE
