Company,CUSIP,Shares,Value,Discretion
3M Company,88579Y101,2000,320200,SOLE
Abbott Labs,002824100,1800,225522,SOLE
Abbvie,00287Y109,92687,21178053,SOLE
Adobe,00724F101,14892,5212051,SOLE
Alphabet Cl A,02079K305,47278,14798123,SOLE
Alphabet Cl C,02079K107,6114,1918573,SOLE
Amazon.com,023135106,72420,16715901,SOLE
American Express,025816109,24275,8980536,SOLE
Amgen,031162100,64647,21159610,SOLE
Amphenol,032095101,64103,8662906,SOLE
Apple,037833100,50061,13609599,SOLE
Applied Materials,038222105,1200,308388,SOLE
Arthur J. Gallagher,363576109,23180,5998757,SOLE
Axsome Therapeutics,05464T104,14794,2701976,SOLE
Berkshire Hathaway B,084670702,2884,1449643,SOLE
Blackstone,09260D107,139547,21509775,SOLE
Bloom Energy,093712107,30786,2674996,SOLE
Broadcom,11135F101,91137,31542377,SOLE
BWX Technologies,05605H100,12659,2187982,SOLE
Casey's General Stores,147528103,17310,9567410,SOLE
CCC Intel Solutions,12510Q100,210857,1676313,SOLE
Chevron Corp,166764100,144448,22015320,SOLE
CNA Financial,126117100,493402,23555011,SOLE
Constellation Energy,21037T109,19049,6729477,SOLE
Constellation Software,21037X100,2136,5138291,SOLE
Cooper Companies,216648501,24822,2034411,SOLE
Copart,217204106,159824,6257110,SOLE
Costco Wholesale,22160K105,628,541550,SOLE
Danaher,235851102,1871,428309,SOLE
Dynatrace,268150109,59471,2577473,SOLE
Edwards Lifesciences Corp,28176E108,2994,255238,SOLE
Eli Lilly & Co,532457108,398,427723,SOLE
Enbridge,29250N105,11045,528282,SOLE
Entegris,29362U104,22784,1919552,SOLE
Evolv Technologies,30049H102,130325,933127,SOLE
Expedia Group,30212P303,724,205116,SOLE
Fabrinet,G3323L100,6823,3106375,SOLE
FTI Consulting,302941109,12451,2127004,SOLE
Halozyme Therapeutics,40637H109,38135,2566485,SOLE
Home Depot,437076102,4162,1432144,SOLE
Honeywell,438516106,1245,242887,SOLE
Huron Consulting Group,447462102,13016,2250597,SOLE
Intuit,461202103,21635,14331457,SOLE
iShares Russell 1000 Growth ET,464287614,1993,943287,SOLE
Jack Henry & Associates,426281101,14991,2735558,SOLE
Johnson & Johnson,478160104,4221,873536,SOLE
JPMorgan,46625H100,38859,12521147,SOLE
KLA,482480100,6596,8014585,SOLE
Krystal Biotech,501147102,11985,2954782,SOLE
Lonza Group ADR,54338V101,92924,6243564,SOLE
Marsh,571748102,97677,18121037,SOLE
Mettler Toledo,592688105,1669,2326903,SOLE
Microsoft,594918104,33960,16423911,SOLE
Monolithic Power Systems,609839105,4249,3851124,SOLE
Morgan Stanley,617446448,31138,5527929,SOLE
Motorola Solutions Inc New,620076307,566,216959,SOLE
Natera,632307104,12100,2771989,SOLE
NextEra Energy,65339F101,235026,18867887,SOLE
Northrop Grumman,666807102,887,505776,SOLE
Nvidia Corporation Com,67066G104,3055,569757,SOLE
O'Reilly Automotive,67103H107,62868,5734190,SOLE
ONEOK Inc,682680103,259982,19108677,SOLE
PepsiCo,713448108,135674,19471932,SOLE
Pfizer,717081103,803571,20008918,SOLE
Phillips 66,718546104,206595,26659019,SOLE
Pool,73278L105,3422,782782,SOLE
Prologis,74340W103,156755,20011285,SOLE
Qualys,74758T303,14072,1870169,SOLE
RBC Bearings,75524B104,9139,4098202,SOLE
Rocket Lab,773122106,9000,627840,SOLE
Rolls Royce Holdings,775781206,25000,393000,SOLE
Royalty Pharma Plc,G7709Q104,744355,28761889,SOLE
RTX,75513E101,1689,309763,SOLE
Ryan Specialty Holdings,78351F107,60384,3117626,SOLE
ServiceNow,81762P102,40629,6223957,SOLE
Sherwin Williams,824348106,11635,3770092,SOLE
SLB,806857108,5681,218037,SOLE
Syndax Pharmaceuticals,87164F105,97802,2054820,SOLE
Taiwan Semiconductor,874039100,26974,8197226,SOLE
Tesla,88160R101,1850,831982,SOLE
Texas Instruments,882508104,140108,24307337,SOLE
Tradeweb Mkts,892672106,72041,7747291,SOLE
Tyler Technologies,902252105,9399,4266676,SOLE
United Rentals,911363109,660,534151,SOLE
UnitedHealth Group,91324P102,59153,19526997,SOLE
Vanguard Index Funds Growth Et,922908736,6436,3139867,SOLE
Vanguard Index Funds Total Sto,922908769,742,248682,SOLE
Veeva Systems,922475108,21132,4717296,SOLE
Verastem,92337C203,216387,1670508,SOLE
Verisk Analytics,92345Y106,17364,3884153,SOLE
Vertex Pharmaceuticals,92532F100,15466,7011666,SOLE
Visa,92826C839,19633,6885492,SOLE
Wells Fargo,949746101,3000,279600,SOLE
Hewlett Packard Ent Ser C Conv,42824C208,374202,24955531,SOLE
KKR Series D Conv 6.25,48251W500,414402,21482600,SOLE
