Company,CUSIP,Shares,Value,Discretion,PutCall
"Albertsons Companies, Inc.",013091103,4134360,70449494,SOLE,
"Amazon.com, Inc.",023135106,378875,78908296,SOLE,
BP PLC Sponsored ADR,055622104,1671683,78569101,SOLE,
Bank of America Corporation,060505104,2065582,100697123,SOLE,
Berkshire Hathaway Inc. - Class B,084670702,199485,95593212,SOLE,
The Boeing Company,097023105,355009,70657441,SOLE,
CSX Corporation,126408103,2002159,82188627,SOLE,
Coterra Energy Inc.,127097103,2128868,74808422,SOLE,
Chevron Corporation,166764100,9855,2039000,SOLE,
Citigroup Inc.,172967424,773599,87733863,SOLE,
The Walt Disney Company,254687106,970436,93530622,SOLE,
"Marvell Technology, Inc.",573874104,1148590,113767840,SOLE,
"Mohawk Industries, Inc.",608190104,642537,63264193,SOLE,
Omnicom Group Inc.,681919106,842962,63483468,SOLE,
Owens Corning,690742101,592330,64101953,SOLE,
Packaging Corporation of America,695156109,54750,11619045,SOLE,
Pfizer Inc,717081103,2870421,80601422,SOLE,
Public Service Enterprise Group Incorporated,744573106,984658,79708065,SOLE,
QUALCOMM Incorporated,747525103,424796,54705229,SOLE,
Southwest Airlines Co.,844741108,2001977,75214276,SOLE,
Teva Pharmaceutical Industries Ltd. - ADR,881624209,3885683,117036772,SOLE,
"United Parcel Service, Inc. Cl B",911312106,728066,71627133,SOLE,
Wells Fargo & Company,949746101,902430,71842452,SOLE,
Alphabet Inc. - Class A,02079K305,255671,73520753,SOLE,
EQT Corporation,26884L109,1235565,78631357,SOLE,
GE HealthCare Technologies Inc.,36266G107,1192741,84899304,SOLE,
General Motors Company,37045V100,1037362,77283469,SOLE,
Incyte Corporation,45337C102,767829,72268065,SOLE,
"Kinder Morgan, Inc.",49456B101,1914405,64190000,SOLE,
"Kyndryl Holdings, Inc.",50155Q100,4147984,54421550,SOLE,
"Regeneron Pharmaceuticals, Inc.",75886F107,150960,116637734,SOLE,
"QXO, Inc.",82846H405,3929810,76316910,SOLE,
Vistra Corp.,92840M102,479762,72122621,SOLE,
Zimmer Biomet Holdings Inc.,98956P102,1052202,95140105,SOLE,
ICON Plc,G4705A100,626958,69379172,SOLE,
"Medtronic, PLC",G5960L103,825239,71506959,SOLE,
Smurfit WestRock Public Limited Company,G8267P108,1509136,60139070,SOLE,
Check Point Software Technologies Ltd.,M22465104,518529,74071868,SOLE,
NXP Semiconductors NV,N6596X109,410653,80841150,SOLE,
Flex Ltd.,Y2573F102,924882,60542776,SOLE,
